Bramble & Hound Pet Supply - Inventory On Hand
Run: 08/31/2026 11:15 AM
SKU,Description,Department,On Hand,Avg Cost,Retail
DO-1040,Kibble Grain-Free Salmon 24lb,Dog Food,37,41.63,72.99
DO-1047,Kibble Lamb & Rice 30lb,Dog Food,49,36.46,64.99
DO-1054,Canned Beef Stew 13oz,Dog Food,40,1.95,3.49
DO-1061,Senior Formula 15lb,Dog Food,12,29.88,52.99
DO-1068,Puppy Chicken 12lb,Dog Food,20,22.73,39.99
DO-1075,Raw Frozen Patties 6lb,Dog Food,31,25.53,44.99
DO-1082,Limited Ingredient Duck 22lb,Dog Food,36,47.57,79.99
DO-1089,Canned Turkey Pate 13oz,Dog Food,11,2.13,3.79
DO-1096,Freeze-Dried Topper 8oz,Dog Food,16,9.42,18.99
DO-1103,Weight Control 28lb,Dog Food,32,36.13,61.99
DO-1110,Large Breed Chicken 34lb,Dog Food,5,45.90,76.99
CA-1140,Indoor Adult 16lb,Cat Food,37,27.00,48.99
CA-1147,Canned Tuna Flakes 3oz,Cat Food,17,0.73,1.39
CA-1154,Kitten Chicken 7lb,Cat Food,13,17.11,29.99
CA-1161,Grain-Free Whitefish 11lb,Cat Food,62,25.91,44.99
CA-1168,Pouch Variety 12pk,Cat Food,20,8.06,13.99
CA-1175,Hairball Formula 14lb,Cat Food,8,24.22,42.99
CA-1182,Canned Salmon Pate 5.5oz,Cat Food,23,1.22,2.19
CA-1189,Urinary Care 8lb,Cat Food,26,22.10,37.99
CA-1196,Freeze-Dried Minnows 1oz,Cat Food,15,3.99,7.99
TR-1240,Bully Stick 12in,Treats & Chews,33,3.88,8.99
TR-1247,Dental Chews 30ct,Treats & Chews,21,13.93,26.99
TR-1254,Training Bites 16oz,Treats & Chews,13,6.82,12.99
TR-1261,Yak Cheese Chew L,Treats & Chews,14,7.69,14.99
TR-1268,Salmon Skins 4oz,Treats & Chews,40,5.15,10.99
TR-1275,Beef Trachea 6in,Treats & Chews,39,2.49,5.49
TR-1282,Cat Crunchy Treats 6oz,Treats & Chews,69,2.28,4.99
TR-1289,Peanut Butter Biscuits 2lb,Treats & Chews,44,5.61,11.99
TR-1296,Elk Antler M,Treats & Chews,13,11.38,22.99
TR-1303,Pig Ear Single,Treats & Chews,21,1.41,3.29
TR-1310,Jerky Chicken Strips 10oz,Treats & Chews,12,8.27,15.99
TO-1340,Rope Tug Large,Toys,42,4.79,11.99
TO-1347,Squeaky Plush Fox,Toys,27,5.48,12.99
TO-1354,Rubber Chew Ball M,Toys,32,6.17,13.99
TO-1361,Cat Wand Feather,Toys,41,2.64,6.99
TO-1368,Puzzle Feeder Level 2,Toys,17,11.87,24.99
TO-1375,Catnip Mice 3pk,Toys,5,1.87,4.99
TO-1382,Fetch Launcher,Toys,43,14.22,29.99
TO-1389,Laser Pointer,Toys,29,4.30,9.99
AQ-1440,20 Gallon Tank Kit,Aquarium,29,65.81,129.99
AQ-1447,Canister Filter 40gal,Aquarium,4,71.90,139.99
AQ-1454,Tropical Flakes 2.2oz,Aquarium,39,3.82,7.99
AQ-1461,Water Conditioner 16oz,Aquarium,16,5.83,11.49
AQ-1468,Aquarium Heater 100W,Aquarium,15,14.81,29.99
AQ-1475,LED Light Bar 24in,Aquarium,22,26.40,54.99
AQ-1482,Gravel Natural 25lb,Aquarium,46,9.52,18.99
AQ-1489,Test Strips 50ct,Aquarium,24,8.11,17.99
AQ-1496,Betta Pellets 1oz,Aquarium,19,2.22,4.99
GR-1540,Oatmeal Shampoo 16oz,Grooming,15,4.97,11.99
GR-1547,Slicker Brush M,Grooming,34,6.45,14.99
GR-1554,Nail Clipper Pro,Grooming,30,7.69,16.99
GR-1561,Ear Cleaner 4oz,Grooming,29,4.22,9.49
GR-1568,Deshedding Tool L,Grooming,34,14.32,32.99
GR-1575,Detangling Spray 8oz,Grooming,44,4.58,10.49
GR-1582,Paw Balm 2oz,Grooming,6,3.49,8.99
