Fennel Hollow Soapworks - stock on hand
Exported 08/14/2026 3:52 PM by marta
Bin,SKU,Item,Status,On hand,Count unit,Reorder at,Reorder unit,Unit cost,Cost per
A-1,FH-BP177, Beeswax pellets,Archived,0.1,kg,10,kg,7.60,kg
A-1,FH-SAO163, Sweet almond oil,Active,16.4,kg,5,kg,9.00,kg
A-3,FH-EEO198,EUCALYPTUS ESSENTIAL OIL,Active,400,ml,1,L,71.50,L
A-3,FH-WW268,Wooden wicks,Archived,153,each,200,each,1.56,each
A-4,FH-CB170,Cocoa butter,Active,18.6,kg,8,kg,20.80,kg
A-6,FH-AO142,Avocado oil,Active,"13,800",g,10,kg,20.90,kg
A-6,FH-KC100,Kaolin clay,Active,"6,500",g,5,kg,10.80,kg
A-6,FH-PEO191,Peppermint essential oil,Active,4.3,L,250,ml,97.70,L
A-6,FH-VG233,VEGETABLE GLYCERIN,Active,"1,900",ml,500,ml,97.10,L
B-1,FH-JL247,Jar labels,Active,"3,500",each,"1,500",each,385.00,roll of 500
B-2,FH-COR114,Coconut oil refined,Active,4.7,kg,6,kg,14.10,kg
B-2,FH-KSB275,Kraft soap boxes,Active,"1,300",each,200,each,90.00,pack of 100
B-6,FH-ES156,Epsom salt,Active,9.6,kg,8,kg,18.40,kg
B-6,FH-SA184, Stearic acid,Active,11.9,kg,6,kg,8.90,kg
C-1,FH-CW240,Cotton wicks,Active,180,each,100,each,1.87,each
C-1,FH-SHL128,SODIUM HYDROXIDE LYE,Active,"9,400",g,2,kg,16.80,kg
C-2,FH-AGJ261,AMBER GLASS JARS,Active,360,each,48,each,10.32,case of 24
C-2,FH-RBO135,Rice bran oil,Active,"3,500",g,2,kg,21.20,kg
C-3,FH-LEO205,LAVENDER ESSENTIAL OIL,Active,"4,000",ml,500,ml,28.30,L
C-4,FH-CO149,COLLOIDAL OATMEAL,Active,"17,400",g,10,kg,19.90,kg
C-6,FH-CT282,Candle tins,Active,624,each,96,each,21.12,case of 48
C-6,FH-MSB254,Muslin soap bags,Active,600,each,100,each,13.50,pack of 50
D-1,FH-WHE212,Witch hazel extract,Active,8,L,3,L,65.60,L
D-2,FH-CFO219,Cedarwood fragrance oil,Active,6.7,L,5,L,118.10,L
D-5,FH-CO121,Castor oil,Active,10.2,kg,10,kg,9.40,kg
D-5,FH-VBF226,Vanilla bean fragrance oil,Archived,300,ml,"1,000",ml,129.50,L
D-6,FH-AC107,Activated charcoal,Active,"6,600",g,6,kg,8.00,kg
