Quarry Road Nursery - Inventory On Hand
As of 09/30/2026 11:58 PM
SKU,Description,Department,On Hand,Retail Price
HOU-0261,Monstera 10 in,Houseplants,99,47.74
HOU-0266,Fiddle Leaf Fig 14 in,Houseplants,75,109.16
HOU-0362,Snake Plant 6 in,Houseplants,102,16.46
HOU-0373,Pothos 6 in hanging,Houseplants,37,12.09
HOU-0483,ZZ Plant 8 in,Houseplants,11,29.66
HOU-0534,Peace Lily 8 in,Houseplants,65,24.70
HOU-0547,Bird of Paradise 14 in,Houseplants,-4,108.67
HOU-0849,Calathea 6 in,Houseplants,89,19.77
PER-0039,Echinacea 'Magnus' 1 gal,Perennials,59,9.38
PER-0271,Hosta 'Patriot' 2 gal,Perennials,31,17.46
PER-0377,Black-eyed Susan 1 gal,Perennials,20,7.04
PER-0552,Lavender 'Hidcote' 1 gal,Perennials,60,11.09
PER-0647,Salvia 'May Night' 1 gal,Perennials,48,8.58
PER-0677,Coral Bells 1 gal,Perennials,73,10.53
PER-0717,Daylily 'Stella de Oro' 1 gal,Perennials,93,6.83
PER-0767,Russian Sage 2 gal,Perennials,35,14.14
PER-0769,Sedum 'Autumn Joy' 1 gal,Perennials,98,8.06
PER-0824,Hellebore 2 gal,Perennials,97,22.07
PER-0870,Catmint 'Walker's Low' 1 gal,Perennials,17,8.95
PER-0871,Astilbe 1 gal,Perennials,56,8.44
POT-0090,Glazed pot 14 in cobalt,Pots & Planters,80,41.46
POT-0191,Terracotta pot 10 in,Pots & Planters,88,9.45
POT-0323,Fiberglass planter 24 in,Pots & Planters,61,134.69
POT-0329,Self-watering planter 12 in,Pots & Planters,6,33.76
POT-0334,Coco liner hanging basket 14 in,Pots & Planters,76,19.28
POT-0712,Cedar window box 30 in,Pots & Planters,51,69.93
POT-0827,Glazed pot 18 in celadon,Pots & Planters,94,83.49
SHR-0011,Hydrangea 'Limelight' 3 gal,Shrubs,69,43.25
SHR-0015,Boxwood 'Green Velvet' 3 gal,Shrubs,80,28.43
SHR-0179,Lilac 5 gal,Shrubs,88,49.46
SHR-0180,Spirea 'Goldflame' 2 gal,Shrubs,49,20.08
SHR-0213,Ninebark 'Diabolo' 3 gal,Shrubs,46,34.56
SHR-0224,Azalea 'Encore' 3 gal,Shrubs,-8,40.43
SHR-0230,Rhododendron 5 gal,Shrubs,42,55.98
SHR-0306,Viburnum 5 gal,Shrubs,77,50.66
SHR-0331,Arborvitae 'Emerald Green' 5 gal,Shrubs,-9,48.36
SHR-0802,Forsythia 3 gal,Shrubs,43,23.97
SOI-0159,Potting mix 2 cu ft,Soil & Mulch,7,20.07
SOI-0266,Garden soil 1 cu ft,Soil & Mulch,81,7.47
SOI-0441,Hardwood mulch 2 cu ft,Soil & Mulch,63,6.61
SOI-0476,Compost 1 cu ft,Soil & Mulch,26,8.84
SOI-0676,Perlite 8 qt,Soil & Mulch,93,12.22
SOI-0856,Cedar mulch 2 cu ft,Soil & Mulch,-2,10.63
TOL-0119,Felco F-2 pruner,Tools,19,73.32
TOL-0182,Hori hori knife,Tools,53,33.78
TOL-0391,Nitrile garden gloves M,Tools,58,9.92
TOL-0433,Galvanized watering can 2 gal,Tools,79,44.20
TOL-0454,8-pattern hose nozzle,Tools,66,15.74
TOL-0816,Bypass loppers 28 in,Tools,62,62.62
TRE-0199,Japanese Maple 'Bloodgood' 7 gal,Trees,5,161.99
TRE-0323,Serviceberry 10 gal,Trees,0,280.20
TRE-0333,Eastern Redbud 15 gal,Trees,11,376.24
TRE-0373,River Birch B&B 2 in,Trees,4,517.54
TRE-0493,Honeycrisp Apple 5 gal,Trees,53,78.12
TRE-0502,Dwarf Alberta Spruce 5 gal,Trees,74,97.47
TRE-0723,Kousa Dogwood 15 gal,Trees,14,328.90
TRE-0731,Sugar Maple B&B 3 in,Trees,5,2762.61
TRE-0848,Weeping Cherry 15 gal,Trees,6,370.35
