Month,Metric,Value,Entered,Entered by,Comment
06/2026,Callbacks for re-cleans,16,07/02/2026,Marcus,
07/2026,Callbacks for re-cleans,18,08/04/2026,Marcus,
2026-08,Callbacks for re-cleans,12,09/03/2026,Priya,
Jun-26,Carpet cleaning jobs,35,07/02/2026,Marcus,last month before the Eastside sale
Jun-26,Client renewal rate,0.871,07/02/2026,Priya,
Jul-26,Client renewal rate,0.862,08/04/2026,Priya,
08/2026,Client renewal rate,0.927,09/03/2026,Priya,
2026-06,Complaints per 100 visits,0.9,07/02/2026,Priya,
2026-07,Complaints per 100 visits,2.4,08/04/2026,Marcus,
08/2026,Complaints per 100 visits,1.1,09/03/2026,Priya,
06/2026,Inspection pass rate,0.937,07/02/2026,Marcus,
2026-07,Inspection pass rate,0.899,08/04/2026,Priya,
Aug-26,Inspection pass rate,0.904,09/02/2026,Priya,
2026-08,Inspection pass rate,0.929,09/08/2026,Priya,revised after the re-inspection of the clinic contracts
Jun-26,Lost-time injuries,0,07/02/2026,Marcus,
Jul-26,Lost-time injuries,3,08/04/2026,Marcus,
Aug-26,Lost-time injuries,1,09/03/2026,Marcus,
Jun-26,New client inquiries,21,07/02/2026,Marcus,
2026-07,New client inquiries,33,08/04/2026,Marcus,
Aug-26,New client inquiries,38,09/03/2026,Priya,
06/2026,On-time arrival rate,0.984,07/02/2026,Marcus,
07/2026,On-time arrival rate,0.925,08/04/2026,Marcus,
08/2026,On-time arrival rate,0.984,09/03/2026,Priya,
2026-06,Revenue per labor hour,34.42,07/02/2026,Marcus,
07/2026,Revenue per labor hour,40.17,08/04/2026,Marcus,
2026-08,Revenue per labor hour,35.05,09/03/2026,Marcus,
2026-06,Staff turnover,0.046,07/02/2026,Marcus,
07/2026,Staff turnover,0.028,08/04/2026,Priya,
2026-08,Staff turnover,0.043,09/03/2026,Marcus,
2026-06,Supply cost per site,171.87,07/02/2026,Marcus,
2026-07,Supply cost per site,206.95,08/04/2026,Marcus,
Aug-26,Supply cost per site,183.13,09/03/2026,Priya,
