Cascade Credit Union - Commercial Loan Activity
Loan CL-46634-48  BASALT BOULDERING CO  Term loan - equipment and build-out
Activity from 09/01/2025 to 09/10/2026
Date,Description,Transaction Type,Amount,To Interest,To Principal,Principal Balance
08/31/2025,BALANCE FORWARD,,,,,"205,359.82"
09/02/2025,AUTOPAY LOAN PAYMENT,Payment,"$2,502.81","$1,172.26","$1,330.55","204,029.27"
10/01/2025,AUTOPAY LOAN PAYMENT,Payment,"$2,502.81","$1,164.67","$1,338.14","202,691.13"
11/03/2025,AUTOPAY LOAN PAYMENT,Payment,"$2,502.81","$1,157.03","$1,345.78","201,345.35"
12/01/2025,AUTOPAY LOAN PAYMENT,Payment,"$2,502.81","$1,149.35","$1,353.46","199,991.89"
01/02/2026,AUTOPAY LOAN PAYMENT,Payment,"$2,502.81","$1,141.62","$1,361.19","198,630.70"
02/02/2026,AUTOPAY LOAN PAYMENT,Payment,"$2,502.81","$1,133.85","$1,368.96","197,261.74"
03/02/2026,AUTOPAY LOAN PAYMENT,Payment,"$2,502.81","$1,249.32","$1,253.49","196,008.25"
04/01/2026,AUTOPAY LOAN PAYMENT,Payment,"$2,577.17","$1,241.39","$1,335.78","194,672.47"
05/01/2026,AUTOPAY LOAN PAYMENT,Payment,"$2,577.17","$1,232.93","$1,344.24","193,328.23"
05/15/2026,ADDITIONAL PRINCIPAL - ONLINE,Principal only,"$10,000.00",$0.00,"$10,000.00","183,328.23"
06/01/2026,AUTOPAY LOAN PAYMENT,Payment,"$2,577.17","$1,161.08","$1,416.09","181,912.14"
06/03/2026,PAYMENT RETURNED - NSF R01,Reversal,"$2,577.17","$1,161.08","$1,416.09","183,328.23"
06/04/2026,LOAN PAYMENT - ONLINE BANKING,Payment,"$2,577.17","$1,161.08","$1,416.09","181,912.14"
07/01/2026,AUTOPAY LOAN PAYMENT,Payment,"$2,577.17","$1,152.11","$1,425.06","180,487.08"
08/03/2026,AUTOPAY LOAN PAYMENT,Payment,"$2,577.17","$1,143.08","$1,434.09","179,052.99"
09/01/2026,AUTOPAY LOAN PAYMENT,Payment,"$2,577.17","$1,134.00","$1,443.17","177,609.82"
