check_number,invoice_number,amount_applied,write_off
40672,INV-48365,6850.20,0.00
40221,INV-48616,2160.56,0.00
40221,INV-48623,6039.24,0.00
14029,INV-48514,6338.20,0.00
63129,INV-48902,2024.09,0.00
63129,INV-48873,8630.69,0.00
63129,INV-48836,6990.79,0.00
17296,INV-48929,8287.71,0.00
17296,INV-48918,2524.22,0.00
92698,INV-48366,5334.68,8.40
92698,INV-48410,5882.76,0.00
97306,INV-48195,4655.08,0.00
97306,INV-48114,6182.88,0.00
83149,INV-48800,2535.12,0.00
84740,INV-48438,621.07,10.00
12098,INV-48800,4221.00,0.00
9016,INV-48697,4792.00,0.00
9016,INV-48716,4102.15,0.00
13856,INV-48201,5617.81,0.00
13856,INV-48197,9781.10,0.00
13856,INV-48250,3185.87,0.00
38988,INV-48583,9212.55,0.00
38988,INV-48588,6263.99,0.00
38988,INV-48544,819.17,0.00
