Harbor Foodservice - customer price list
Account 44817 | prices effective 06/01/2026 | price is per pack
Item #,Description,Pack,Price
735009,Lemons,EA,$0.51
954901,All-purpose flour,10 KG,$14.01
254570,"CHICKEN THIGHS, BONELESS",5 KG,$36.40
628497,Parmigiano Reggiano,1 KG,$28.35
159133,"Salmon side, skin-on, fresh",5 KG,$146.83
897576,Extra virgin olive oil,3 L TIN,$40.29
329805,Flat-leaf parsley,1 KG,$11.08
113413,"Cheddar, sliced",2.5 KG,$26.87
821707,"Chicken stock, low sodium",4 L,$13.00
825567,"Linguine, dried",5 KG,$17.04
609105,"Garlic, peeled",1 KG,$10.38
932690,Fresh mozzarella,1 KG,$16.95
782257,"White wine, cooking",4 L,$23.17
475444,Arborio rice,5 KG,$28.14
196285,HEAVY CREAM 36%,1 L,$5.39
703542,SAN MARZANO TOMATOES,2.5 KG TIN,$10.26
351559,MIXED GREENS,1.5 KG,$15.08
905841,Brioche buns 4.5in,CS/12,$9.05
136801,YELLOW ONIONS,10 KG SACK,$13.34
763193,CANOLA OIL,15 L JUG,$37.99
522202,Ground beef 80/20,5 KG,$56.80
553829,CREMINI MUSHROOMS,2.5 KG,$22.29
128025,"Basil, fresh",500 G,$12.14
887541,"Butter, unsalted",2 KG,$17.43
909260,Russet potatoes,20 KG SACK,$26.95
