Check #,Opened,Server,Menu Group,Item,Parent Item,Qty,Gross Price,Discount,Discount Reason,Net Price,Voided
37101,07/01/2026 07:47 AM,Ines,Coffee & Tea,Cappuccino,,1,4.75,0.00,,4.75,No
37101,07/01/2026 07:47 AM,Ines,Modifiers,+ Oat milk,Cappuccino,1,0.75,0.00,,0.75,No
37101,07/01/2026 07:47 AM,Ines,Breakfast,Avocado Toast,,1,11.00,0.00,,11.00,No
37101,07/01/2026 07:47 AM,Ines,Bakery,Chocolate Chip Cookie,,1,2.75,0.00,,2.75,No
37102,07/01/2026 01:11 PM,Rashid,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
37102,07/01/2026 01:11 PM,Rashid,Modifiers,+ Oat milk,Cold Brew,1,0.75,0.00,,0.75,No
37102,07/01/2026 01:11 PM,Rashid,Bakery,Chocolate Chip Cookie,,1,2.75,0.00,,2.75,No
37102,07/01/2026 01:11 PM,Rashid,Breakfast,Avocado Toast,,1,11.00,11.00,Comp - manager,0.00,No
37103,07/01/2026 12:41 PM,Kai,Lunch,Greek Salad,,1,12.00,0.00,,12.00,No
37103,07/01/2026 12:41 PM,Kai,Lunch,Soup of the Day,,1,7.00,0.00,,7.00,No
37103,07/01/2026 12:41 PM,Kai,Bakery,Croissant,,1,3.75,0.00,,3.75,No
37104,07/01/2026 01:42 PM,Rashid,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37104,07/01/2026 01:42 PM,Rashid,Modifiers,+ Vanilla syrup,Latte,1,0.60,0.00,,0.60,No
37105,07/01/2026 11:37 AM,Theo,Lunch,Turkey Club,,1,13.50,0.00,,13.50,No
37105,07/01/2026 11:37 AM,Theo,Modifiers,+ Add bacon,Turkey Club,1,2.50,0.00,,2.50,No
37105,07/01/2026 11:37 AM,Theo,Lunch,Greek Salad,,1,12.00,0.00,,12.00,No
37106,07/01/2026 11:04 AM,Ines,Breakfast,Oatmeal Bowl,,1,7.50,0.00,,7.50,No
37106,07/01/2026 11:04 AM,Ines,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37106,07/01/2026 11:04 AM,Ines,Lunch,Turkey Club,,1,13.50,0.00,,13.50,No
37106,07/01/2026 11:04 AM,Ines,Modifiers,+ Add bacon,Turkey Club,1,2.50,0.00,,2.50,No
37107,07/01/2026 01:52 PM,Theo,Coffee & Tea,Chai Tea,,1,4.75,0.00,,4.75,No
37108,07/01/2026 08:02 AM,Ines,Bakery,Croissant,,1,3.75,0.00,,3.75,No
37109,07/01/2026 12:27 PM,Maribel,Breakfast,Avocado Toast,,1,11.00,0.00,,11.00,No
37109,07/01/2026 12:27 PM,Maribel,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
37109,07/01/2026 12:27 PM,Maribel,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
37110,07/01/2026 12:36 PM,Kai,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37110,07/01/2026 12:36 PM,Kai,Breakfast,Oatmeal Bowl,,1,7.50,0.00,,7.50,No
37110,07/01/2026 12:36 PM,Kai,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37110,07/01/2026 12:36 PM,Kai,Modifiers,+ Oat milk,Latte,1,0.75,0.00,,0.75,No
37110,07/01/2026 12:36 PM,Kai,Modifiers,+ Extra shot,Latte,1,1.00,0.00,,1.00,No
37111,07/01/2026 02:29 PM,Rashid,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37112,07/01/2026 01:57 PM,Ines,Coffee & Tea,Cappuccino,,1,4.75,0.00,,4.75,No
37112,07/01/2026 01:57 PM,Ines,Modifiers,+ Oat milk,Cappuccino,1,0.75,0.00,,0.75,No
37112,07/01/2026 01:57 PM,Ines,Modifiers,+ Extra shot,Cappuccino,1,1.00,0.00,,1.00,No
37113,07/01/2026 08:05 AM,Kai,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
37114,07/01/2026 08:38 AM,Rashid,Coffee & Tea,Chai Tea,,1,4.75,0.00,,4.75,No
37114,07/01/2026 08:38 AM,Rashid,Coffee & Tea,Cappuccino,,1,4.75,0.00,,4.75,No
37114,07/01/2026 08:38 AM,Rashid,Lunch,Soup of the Day,,1,7.00,0.00,,7.00,No
37115,07/01/2026 08:52 AM,Ines,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
37116,07/01/2026 07:27 AM,Theo,Bakery,Croissant,,1,3.75,0.00,,3.75,No
37116,07/01/2026 07:27 AM,Theo,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37116,07/01/2026 07:27 AM,Theo,Coffee & Tea,Cappuccino,,1,4.75,0.00,,4.75,No
37116,07/01/2026 07:27 AM,Theo,Modifiers,+ Extra shot,Cappuccino,1,1.00,0.00,,1.00,No
37117,07/01/2026 11:57 AM,Maribel,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37117,07/01/2026 11:57 AM,Maribel,Lunch,Soup of the Day,,1,7.00,0.00,,7.00,No
37118,07/01/2026 08:29 AM,Kai,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37118,07/01/2026 08:29 AM,Kai,Modifiers,+ Oat milk,Latte,1,0.75,0.00,,0.75,No
37119,07/01/2026 12:02 PM,Theo,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
37119,07/01/2026 12:02 PM,Theo,Lunch,Turkey Club,,1,13.50,0.00,,13.50,No
37119,07/01/2026 12:02 PM,Theo,Modifiers,+ Add bacon,Turkey Club,1,2.50,0.00,,2.50,No
37120,07/01/2026 07:40 AM,Ines,Breakfast,Oatmeal Bowl,,1,7.50,0.00,,7.50,No
37120,07/01/2026 07:40 AM,Ines,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37121,07/01/2026 07:58 AM,Theo,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
37121,07/01/2026 07:58 AM,Theo,Modifiers,+ Oat milk,Cold Brew,1,0.75,0.00,,0.75,No
37122,07/01/2026 11:01 AM,Rashid,Lunch,Soup of the Day,,1,7.00,0.00,,7.00,No
37123,07/01/2026 09:36 AM,Maribel,Bakery,Blueberry Muffin,,1,3.50,1.75,Staff meal 50%,1.75,No
37124,07/01/2026 10:18 AM,Rashid,Breakfast,Avocado Toast,,1,11.00,0.00,,11.00,No
37124,07/01/2026 10:18 AM,Rashid,Modifiers,+ Add egg,Avocado Toast,1,1.50,0.00,,1.50,No
37124,07/01/2026 10:18 AM,Rashid,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
37125,07/01/2026 01:51 PM,Ines,Lunch,Greek Salad,,1,12.00,0.00,,12.00,No
37125,07/01/2026 01:51 PM,Ines,Bakery,Croissant,,1,3.75,0.00,,3.75,No
37126,07/01/2026 07:43 AM,Maribel,Lunch,Soup of the Day,,1,7.00,0.00,,7.00,No
37127,07/01/2026 07:42 AM,Maribel,Bakery,Chocolate Chip Cookie,,1,2.75,1.38,Staff meal 50%,1.37,No
37128,07/01/2026 07:47 AM,Rashid,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37128,07/01/2026 07:47 AM,Rashid,Lunch,Greek Salad,,1,12.00,0.00,,12.00,No
37129,07/01/2026 10:45 AM,Theo,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
37129,07/01/2026 10:45 AM,Theo,Coffee & Tea,Chai Tea,,1,4.75,0.00,,4.75,No
37129,07/01/2026 10:45 AM,Theo,Coffee & Tea,Chai Tea,,1,4.75,0.00,,4.75,No
37130,07/01/2026 09:34 AM,Ines,Bakery,Chocolate Chip Cookie,,1,2.75,0.00,,2.75,No
37130,07/01/2026 09:34 AM,Ines,Breakfast,Avocado Toast,,1,11.00,0.00,,11.00,No
37131,07/01/2026 02:43 PM,Rashid,Breakfast,Avocado Toast,,1,11.00,0.00,,11.00,No
37131,07/01/2026 02:43 PM,Rashid,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37132,07/01/2026 02:38 PM,Rashid,Breakfast,Oatmeal Bowl,,1,7.50,0.00,,7.50,No
37133,07/01/2026 12:31 PM,Kai,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37134,07/01/2026 02:24 PM,Ines,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
37134,07/01/2026 02:24 PM,Ines,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
37134,07/01/2026 02:24 PM,Ines,Modifiers,+ Add bacon,Breakfast Sandwich,1,2.50,0.00,,2.50,No
37135,07/01/2026 10:26 AM,Kai,Coffee & Tea,Chai Tea,,1,4.75,0.00,,4.75,No
37136,07/01/2026 08:02 AM,Maribel,Lunch,Turkey Club,,1,13.50,6.75,Staff meal 50%,6.75,No
37136,07/01/2026 08:02 AM,Maribel,Modifiers,+ Add bacon,Turkey Club,1,2.50,1.25,Staff meal 50%,1.25,No
37136,07/01/2026 08:02 AM,Maribel,Coffee & Tea,Cappuccino,,1,4.75,2.38,Staff meal 50%,2.37,No
37136,07/01/2026 08:02 AM,Maribel,Modifiers,+ Extra shot,Cappuccino,1,1.00,0.50,Staff meal 50%,0.50,No
37137,07/01/2026 10:51 AM,Ines,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
37137,07/01/2026 10:51 AM,Ines,Modifiers,+ Add bacon,Breakfast Sandwich,1,2.50,0.00,,2.50,No
37137,07/01/2026 10:51 AM,Ines,Modifiers,+ Add avocado,Breakfast Sandwich,1,2.00,0.00,,2.00,No
37137,07/01/2026 10:51 AM,Ines,Lunch,Greek Salad,,1,12.00,0.00,,12.00,No
37137,07/01/2026 10:51 AM,Ines,Modifiers,+ Add avocado,Greek Salad,1,2.00,0.00,,2.00,No
37137,07/01/2026 10:51 AM,Ines,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37138,07/01/2026 11:19 AM,Rashid,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37139,07/01/2026 09:46 AM,Kai,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37140,07/01/2026 08:28 AM,Theo,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
37140,07/01/2026 08:28 AM,Theo,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
37140,07/01/2026 08:28 AM,Theo,Breakfast,Oatmeal Bowl,,1,7.50,0.00,,7.50,No
37141,07/01/2026 01:07 PM,Kai,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
37141,07/01/2026 01:07 PM,Kai,Modifiers,+ Add bacon,Breakfast Sandwich,1,2.50,0.00,,2.50,No
37141,07/01/2026 01:07 PM,Kai,Modifiers,+ Add egg,Breakfast Sandwich,1,1.50,0.00,,1.50,No
37141,07/01/2026 01:07 PM,Kai,Modifiers,+ Add avocado,Breakfast Sandwich,1,2.00,0.00,,2.00,No
37141,07/01/2026 01:07 PM,Kai,Breakfast,Avocado Toast,,1,11.00,0.00,,11.00,No
37141,07/01/2026 01:07 PM,Kai,Modifiers,+ Gluten-free bread,Avocado Toast,1,1.50,0.00,,1.50,No
37141,07/01/2026 01:07 PM,Kai,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37142,07/01/2026 10:44 AM,Theo,Lunch,Turkey Club,,1,13.50,0.00,,13.50,No
37143,07/01/2026 12:23 PM,Ines,Bakery,Croissant,,1,3.75,0.00,,3.75,No
37143,07/01/2026 12:23 PM,Ines,Bakery,Chocolate Chip Cookie,,1,2.75,0.00,,2.75,No
37144,07/01/2026 02:42 PM,Rashid,Bakery,Chocolate Chip Cookie,,1,2.75,0.00,,2.75,No
37145,07/01/2026 11:22 AM,Ines,Bakery,Chocolate Chip Cookie,,1,2.75,0.00,,2.75,No
37145,07/01/2026 11:22 AM,Ines,Coffee & Tea,Chai Tea,,1,4.75,0.00,,4.75,No
37146,07/01/2026 11:43 AM,Rashid,Coffee & Tea,Chai Tea,,1,4.75,0.00,,4.75,No
37146,07/01/2026 11:43 AM,Rashid,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
37146,07/01/2026 11:43 AM,Rashid,Lunch,Soup of the Day,,1,7.00,0.00,,7.00,No
37147,07/01/2026 07:56 AM,Ines,Bakery,Chocolate Chip Cookie,,1,2.75,0.00,,2.75,No
37147,07/01/2026 07:56 AM,Ines,Coffee & Tea,Chai Tea,,1,4.75,0.00,,4.75,No
37147,07/01/2026 07:56 AM,Ines,Lunch,Turkey Club,,1,13.50,0.00,,13.50,No
37147,07/01/2026 07:56 AM,Ines,Modifiers,+ Add bacon,Turkey Club,1,2.50,0.00,,2.50,No
37148,07/01/2026 10:06 AM,Ines,Lunch,Turkey Club,,1,13.50,0.00,,13.50,No
37148,07/01/2026 10:06 AM,Ines,Modifiers,+ Add bacon,Turkey Club,1,2.50,0.00,,2.50,No
37148,07/01/2026 10:06 AM,Ines,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
37148,07/01/2026 10:06 AM,Ines,Modifiers,+ Add bacon,Breakfast Sandwich,1,2.50,0.00,,2.50,No
37149,07/01/2026 09:58 AM,Theo,Breakfast,Oatmeal Bowl,,1,7.50,0.00,,7.50,No
37150,07/01/2026 08:01 AM,Kai,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
37150,07/01/2026 08:01 AM,Kai,Modifiers,+ Add bacon,Breakfast Sandwich,1,2.50,0.00,,2.50,No
37150,07/01/2026 08:01 AM,Kai,Coffee & Tea,Chai Tea,,1,4.75,0.00,,4.75,No
37150,07/01/2026 08:01 AM,Kai,Lunch,Turkey Club,,1,13.50,0.00,,13.50,No
37150,07/01/2026 08:01 AM,Kai,Modifiers,+ Add bacon,Turkey Club,1,2.50,0.00,,2.50,No
37150,07/01/2026 08:01 AM,Kai,Modifiers,+ Gluten-free bread,Turkey Club,1,1.50,0.00,,1.50,No
37151,07/02/2026 09:40 AM,Rashid,Lunch,Soup of the Day,,1,7.00,0.00,,7.00,No
37151,07/02/2026 09:40 AM,Rashid,Coffee & Tea,Chai Tea,,1,4.75,0.00,,4.75,No
37151,07/02/2026 09:40 AM,Rashid,Lunch,Greek Salad,,1,12.00,0.00,,12.00,No
37152,07/02/2026 12:41 PM,Ines,Breakfast,Avocado Toast,,1,11.00,0.00,,11.00,No
37152,07/02/2026 12:41 PM,Ines,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37152,07/02/2026 12:41 PM,Ines,Coffee & Tea,Chai Tea,,1,4.75,0.00,,4.75,No
37153,07/02/2026 12:15 PM,Maribel,Breakfast,Avocado Toast,,1,11.00,0.00,,11.00,No
37153,07/02/2026 12:15 PM,Maribel,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
37153,07/02/2026 12:15 PM,Maribel,Modifiers,+ Oat milk,Cold Brew,1,0.75,0.00,,0.75,No
37154,07/02/2026 01:28 PM,Rashid,Coffee & Tea,Chai Tea,,1,4.75,0.00,,4.75,No
37155,07/02/2026 01:35 PM,Ines,Lunch,Greek Salad,,1,12.00,0.00,,12.00,No
37155,07/02/2026 01:35 PM,Ines,Modifiers,+ No onions,Greek Salad,1,0.00,0.00,,0.00,No
37156,07/02/2026 02:47 PM,Maribel,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
37156,07/02/2026 02:47 PM,Maribel,Modifiers,+ Add egg,Breakfast Sandwich,1,1.50,0.00,,1.50,No
37157,07/02/2026 10:38 AM,Kai,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
37158,07/02/2026 01:43 PM,Theo,Breakfast,Oatmeal Bowl,,1,7.50,0.00,,7.50,No
37158,07/02/2026 01:43 PM,Theo,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
37159,07/02/2026 02:22 PM,Maribel,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
37159,07/02/2026 02:22 PM,Maribel,Bakery,Croissant,,1,3.75,0.00,,3.75,No
37160,07/02/2026 07:31 AM,Ines,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
37161,07/02/2026 01:01 PM,Rashid,Lunch,Turkey Club,,1,13.50,0.00,,13.50,No
37161,07/02/2026 01:01 PM,Rashid,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37162,07/02/2026 02:55 PM,Maribel,Lunch,Soup of the Day,,1,7.00,3.50,Staff meal 50%,3.50,No
37162,07/02/2026 02:55 PM,Maribel,Coffee & Tea,Drip Coffee,,1,3.00,1.50,Staff meal 50%,1.50,No
37163,07/02/2026 10:37 AM,Rashid,Coffee & Tea,Cappuccino,,1,4.75,0.00,,4.75,No
37163,07/02/2026 10:37 AM,Rashid,Lunch,Soup of the Day,,1,7.00,0.00,,7.00,No
37164,07/02/2026 10:25 AM,Kai,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37164,07/02/2026 10:25 AM,Kai,Bakery,Croissant,,1,3.75,0.00,,3.75,No
37164,07/02/2026 10:25 AM,Kai,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
37165,07/02/2026 07:25 AM,Kai,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
37165,07/02/2026 07:25 AM,Kai,Modifiers,+ Oat milk,Cold Brew,1,0.75,0.00,,0.75,No
37165,07/02/2026 07:25 AM,Kai,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37166,07/02/2026 12:14 PM,Kai,Bakery,Blueberry Muffin,,1,3.50,1.75,Staff meal 50%,1.75,No
37167,07/02/2026 12:38 PM,Rashid,Breakfast,Avocado Toast,,1,11.00,11.00,Comp - manager,0.00,No
37168,07/02/2026 07:54 AM,Ines,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37168,07/02/2026 07:54 AM,Ines,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
37169,07/02/2026 12:57 PM,Rashid,Coffee & Tea,Cappuccino,,1,4.75,0.00,,4.75,No
37169,07/02/2026 12:57 PM,Rashid,Modifiers,+ Oat milk,Cappuccino,1,0.75,0.00,,0.75,No
37169,07/02/2026 12:57 PM,Rashid,Modifiers,+ Extra shot,Cappuccino,1,1.00,0.00,,1.00,No
37170,07/02/2026 12:35 PM,Rashid,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
37170,07/02/2026 12:35 PM,Rashid,Modifiers,+ Add bacon,Breakfast Sandwich,1,2.50,0.00,,2.50,No
37170,07/02/2026 12:35 PM,Rashid,Modifiers,+ Add egg,Breakfast Sandwich,1,1.50,0.00,,1.50,No
37170,07/02/2026 12:35 PM,Rashid,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37171,07/02/2026 09:49 AM,Maribel,Bakery,Chocolate Chip Cookie,,1,2.75,0.00,,2.75,No
37171,07/02/2026 09:49 AM,Maribel,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
37171,07/02/2026 09:49 AM,Maribel,Modifiers,+ Add egg,Breakfast Sandwich,1,1.50,0.00,,1.50,No
37171,07/02/2026 09:49 AM,Maribel,Modifiers,+ Add avocado,Breakfast Sandwich,1,2.00,0.00,,2.00,No
37172,07/02/2026 10:32 AM,Ines,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37173,07/02/2026 02:45 PM,Theo,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37173,07/02/2026 02:45 PM,Theo,Modifiers,+ Vanilla syrup,Latte,1,0.60,0.00,,0.60,No
37174,07/02/2026 02:57 PM,Theo,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
37174,07/02/2026 02:57 PM,Theo,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37174,07/02/2026 02:57 PM,Theo,Bakery,Chocolate Chip Cookie,,1,2.75,0.00,,2.75,No
37175,07/02/2026 07:43 AM,Rashid,Bakery,Croissant,,1,3.75,0.00,,3.75,No
37176,07/02/2026 02:02 PM,Rashid,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
37176,07/02/2026 02:02 PM,Rashid,Modifiers,+ Add bacon,Breakfast Sandwich,1,2.50,0.00,,2.50,No
37176,07/02/2026 02:02 PM,Rashid,Coffee & Tea,Chai Tea,,1,4.75,0.00,,4.75,No
37177,07/02/2026 12:05 PM,Theo,Bakery,Chocolate Chip Cookie,,1,2.75,0.00,,2.75,No
37178,07/02/2026 11:42 AM,Theo,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37178,07/02/2026 11:42 AM,Theo,Modifiers,+ Oat milk,Latte,1,0.75,0.00,,0.75,No
37179,07/02/2026 08:58 AM,Maribel,Bakery,Chocolate Chip Cookie,,1,2.75,0.00,,2.75,No
37180,07/02/2026 07:07 AM,Rashid,Breakfast,Avocado Toast,,1,11.00,0.00,,11.00,No
37181,07/02/2026 01:38 PM,Rashid,Bakery,Croissant,,1,3.75,0.00,,3.75,No
37181,07/02/2026 01:38 PM,Rashid,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37182,07/02/2026 01:09 PM,Theo,Breakfast,Avocado Toast,,1,11.00,0.00,,11.00,No
37182,07/02/2026 01:09 PM,Theo,Modifiers,+ Gluten-free bread,Avocado Toast,1,1.50,0.00,,1.50,No
37183,07/02/2026 11:18 AM,Rashid,Lunch,Turkey Club,,1,13.50,0.00,,13.50,No
37184,07/02/2026 09:30 AM,Ines,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
37185,07/02/2026 07:19 AM,Rashid,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37186,07/02/2026 10:02 AM,Theo,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37186,07/02/2026 10:02 AM,Theo,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37186,07/02/2026 10:02 AM,Theo,Modifiers,+ Oat milk,Latte,1,0.75,0.00,,0.75,No
37186,07/02/2026 10:02 AM,Theo,Lunch,Soup of the Day,,1,7.00,0.00,,7.00,No
37187,07/02/2026 11:26 AM,Maribel,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37187,07/02/2026 11:26 AM,Maribel,Modifiers,+ Oat milk,Latte,1,0.75,0.00,,0.75,No
37187,07/02/2026 11:26 AM,Maribel,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
37187,07/02/2026 11:26 AM,Maribel,Modifiers,+ Add egg,Breakfast Sandwich,1,1.50,0.00,,1.50,No
37188,07/02/2026 09:26 AM,Maribel,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
37189,07/02/2026 10:09 AM,Theo,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
37190,07/02/2026 07:40 AM,Theo,Bakery,Chocolate Chip Cookie,,1,2.75,0.00,,2.75,No
37190,07/02/2026 07:40 AM,Theo,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
37190,07/02/2026 07:40 AM,Theo,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37190,07/02/2026 07:40 AM,Theo,Modifiers,+ Oat milk,Latte,1,0.75,0.00,,0.75,No
37191,07/02/2026 12:35 PM,Kai,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37191,07/02/2026 12:35 PM,Kai,Modifiers,+ Extra shot,Latte,1,1.00,0.00,,1.00,No
37192,07/02/2026 10:34 AM,Ines,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37192,07/02/2026 10:34 AM,Ines,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
37192,07/02/2026 10:34 AM,Ines,Modifiers,+ Oat milk,Latte,1,0.75,0.00,,0.75,No
37192,07/02/2026 10:34 AM,Ines,Modifiers,+ Vanilla syrup,Latte,1,0.60,0.00,,0.60,No
37193,07/02/2026 10:18 AM,Theo,Lunch,Greek Salad,,1,12.00,0.00,,12.00,No
37193,07/02/2026 10:18 AM,Theo,Breakfast,Oatmeal Bowl,,1,7.50,0.00,,7.50,No
37193,07/02/2026 10:18 AM,Theo,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
