Lantern Street Theatre - AP bill register
Entered 08/01/2026 through 09/12/2026, all periods
Invoice #,Vendor,Bill Date,Posting Period,GL Account,PO #,Description,Amount
DLG-73935,Dramatists Licensing Group,2026-08-03,Aug 2026,5140 Royalties,,Royalties - Tempest performances 1-8,"2,190.74"
LOS95848,LAKESHORE OFFICE SUPPLY,2026-08-06,Aug 2026,6410 Office and administration,,Toner and copy paper,$201.80
RH-73188,RIGGING HANDS STAFFING,2026-08-07,Aug 2026,5110 Production labor,PO-26-0365,Stage crew load-in 07/27 - 07/31,"$ 3,139.85"
MK38982,Martin Keys Piano Service,2026-08-10,Aug 2026,6120 Building repairs and maintenance,,Piano regulation - rehearsal hall,$553.94
NG67154,Northgate Lumber & Hardware,08/11/2026,Aug 2026,5130 Scenic and costume materials,PO-26-0326,Casters and hinges,543.58
CJ-66452,Crescent Janitorial,08/12/2026,Aug 2026,6120 Building repairs and maintenance,,Janitorial service July 2026,"1,412.58"
RH-44607,Rigging Hands Staffing,2026-08-12,Aug 2026,5110 Production labor,,"Stage crew, Tempest tech week 08/03 - 08/07","$1,993.42"
HCPL-13006,Harbor City Power & Light,08/13/26,Aug 2026,6110 Utilities,,Electric service July,"2,635.37"
MK64560,Martin Keys Piano Service,08/14/2026,Aug 2026,6120 Building repairs and maintenance,PO-26-0334,Piano tuning before opening,261.26
KM53990,KEEL & MAST PLUMBING,08/18/26,Aug 2026,6120 Building repairs and maintenance,,Annual backflow test,230.98
BSL88858,Brightfield Stage Lighting,2026-08-19,Aug 2026,5120 Lighting and sound rental,,Gel and lamp replacement,"$1,047.03"
HW-5525,Hollis & Webb LLP,08/19/2026,Aug 2026,6210 Professional fees,,Legal services - July 2026 (lease review),"1,568.70"
EPC-66640,Evergreen Pest Control,2026-08-26,Aug 2026,6120 Building repairs and maintenance,,Quarterly pest service 08/05/2026,413.58
HW-69280,Hollis & Webb LLP,2026-08-26,Sep 2026,6210 Professional fees,,Legal services - August 2026 (board governance),"3,434.73"
SAV-93193,Soundcraft AV Rentals,09/01/26,Sep 2026,5120 Lighting and sound rental,,September rehearsal sound system rental 09/01 - 09/30,$943.49
BSL62514,Brightfield Stage Lighting,09/02/26,Sep 2026,5120 Lighting and sound rental,,Lighting package rental 08/23/2026 - 09/21/2026,"$ 5,731.91"
EPC-71728,Evergreen Pest Control,2026-09-02,Sep 2026,6120 Building repairs and maintenance,,Pest service 08/27/2026,$183.61
RH-93148,Rigging Hands Staffing,09/03/2026,Sep 2026,5110 Production labor,,"Stage crew, Tempest run 08/08 - 08/28","$6,448.22"
AP-8356,Arden Printing Co,09/07/26,Sep 2026,6310 Marketing and printing,PO-26-0316,"Season brochures - 4,000 pcs","$ 3,245.05"
CSP-4666,Cobalt Scenic Paints,09/07/2026,Sep 2026,5130 Scenic and costume materials,PO-26-0363,"Paint and sundries, July delivery",676.25
DLG-52589,DRAMATISTS LICENSING GROUP,09/08/2026,Sep 2026,5140 Royalties,,Royalty advance - November production,"$ 2,508.41"
HCPL-30745,Harbor City Power & Light,2026-09-09,Sep 2026,6110 Utilities,,Electric service 08/01/2026 - 08/31/2026,"2,302.31"
KM67640,Keel & Mast Plumbing,09/09/26,Sep 2026,6120 Building repairs and maintenance,,Emergency repair - lobby restroom supply line 08/24,$ 995.56
SAV-73666,Soundcraft AV Rentals,09/10/2026,Sep 2026,5120 Lighting and sound rental,PO-26-0317,Wireless mic kit rental for Tempest (August),"$1,375.53"
