order_id,order_date,region,product_line,amount
SO-10001,1 Jan 2026,South,Subscriptions,"$1,276.82"
SO-10002,01/01/2026,West,Subscriptions,$783.12
SO-10003,1 Jan 2026,South,Hardware,"$2,871.23"
SO-10004,2026-01-01,East,Subscriptions,$301.96
SO-10005,1 Jan 2026,East,Subscriptions,$883.72
SO-10006,2 Jan 2026,West,Hardware,"$2,089.50"
SO-10007,2 Jan 2026,East,Services,"$2,266.22"
SO-10008,01/02/2026,North,Services,"$4,534.77"
SO-10009,2026-01-02,East,Services,"$1,174.36"
SO-10010,01/02/2026,East,Subscriptions,"$1,346.40"
SO-10011,2026-01-02,North,Services,"$3,686.06"
SO-10012,2026-01-02,North,Hardware,"$3,824.06"
SO-10013,2 Jan 2026,North,Hardware,"$3,745.47"
SO-10014,3 Jan 2026,East,Services,"$3,787.40"
SO-10015,2026-01-03,North,Subscriptions,"$1,365.77"
SO-10016,01/03/2026,North,Services,"$1,339.67"
SO-10017,01/03/2026,North,Hardware,"$4,596.98"
SO-10018,2026-01-04,West,Services,"$1,531.00"
SO-10019,2026-01-04,West,Services,"$1,032.13"
SO-10020,4 Jan 2026,North,Hardware,"$4,342.69"
SO-10021,01/04/2026,South,Subscriptions,"$1,358.76"
SO-10022,5 Jan 2026,East,Hardware,$549.54
SO-10023,5 Jan 2026,West,Services,$859.55
SO-10024,2026-01-05,West,Subscriptions,$811.23
SO-10025,5 Jan 2026,South,Services,"$2,585.25"
SO-10026,01/06/2026,East,Subscriptions,$297.25
SO-10027,6 Jan 2026,North,Subscriptions,$925.24
SO-10028,01/06/2026,East,Hardware,"$3,121.75"
SO-10029,2026-01-06,North,Subscriptions,"$1,405.37"
SO-10030,2026-01-06,North,Subscriptions,$999.08
SO-10031,01/07/2026,East,Subscriptions,$999.71
SO-10032,01/07/2026,South,Subscriptions,"$1,495.38"
SO-10033,2026-01-07,South,Subscriptions,$748.57
SO-10034,01/08/2026,West,Hardware,"$8,144.26"
SO-10035,01/08/2026,North,Services,$652.86
SO-10036,2026-01-08,East,Hardware,"$5,160.53"
SO-10037,01/08/2026,West,Services,"$3,155.25"
SO-10038,2026-01-08,North,Services,"$5,323.60"
SO-10039,8 Jan 2026,West,Services,"$1,188.72"
SO-10040,2026-01-09,East,Services,$593.98
SO-10041,2026-01-09,South,Hardware,"$4,076.65"
SO-10007-R,01/09/2026,East,Services,"(1,133.11)"
SO-10042,01/10/2026,North,Services,"$2,626.13"
SO-10043,2026-01-10,South,Subscriptions,"$1,104.79"
SO-10044,2026-01-10,East,Subscriptions,$714.69
SO-10045,01/10/2026,South,Services,"$4,404.20"
SO-10046,01/10/2026,South,Subscriptions,$301.92
SO-10047,10 Jan 2026,South,Hardware,"$4,170.50"
SO-10048,2026-01-11,North,Services,"$1,398.11"
SO-10049,2026-01-11,North,Hardware,"$5,098.62"
SO-10050,01/11/2026,South,Services,"$1,364.18"
SO-10051,2026-01-11,West,Hardware,$907.44
SO-10052,2026-01-12,West,Subscriptions,$958.40
SO-10053,12 Jan 2026,West,Hardware,"$7,911.24"
SO-10054,12 Jan 2026,South,Hardware,"$6,352.44"
SO-10055,2026-01-12,West,Services,$794.21
SO-10056,12 Jan 2026,South,Hardware,"$5,451.08"
SO-10057,13 Jan 2026,South,Hardware,"$5,845.37"
SO-10058,01/13/2026,West,Hardware,"$4,078.41"
SO-10059,01/13/2026,North,Subscriptions,$997.14
SO-10060,14 Jan 2026,West,Hardware,"$1,321.33"
SO-10061,14 Jan 2026,West,Hardware,"$8,192.58"
SO-10062,01/14/2026,East,Subscriptions,$794.91
SO-10063,14 Jan 2026,South,Services,"$5,944.68"
SO-10064,01/14/2026,East,Services,"$2,532.74"
SO-10065,01/14/2026,East,Hardware,"$5,910.10"
SO-10066,01/14/2026,North,Services,"$3,913.92"
SO-10067,01/14/2026,North,Services,"$3,456.30"
SO-10068,15 Jan 2026,West,Hardware,"$4,660.22"
SO-10069,01/15/2026,East,Hardware,"$8,421.18"
SO-10070,01/15/2026,East,Subscriptions,"$1,068.62"
SO-10071,01/15/2026,North,Hardware,"$5,382.87"
SO-10072,2026-01-15,West,Subscriptions,$558.14
SO-10073,2026-01-16,South,Services,"$1,621.66"
SO-10074,16 Jan 2026,West,Subscriptions,"$1,127.34"
SO-10075,16 Jan 2026,East,Services,"$1,849.76"
