region,month,revenue,rows,note
North,2026-01,92349.00,37,
North,2026-02,79066.85,37,
North,2026-03,,0,"no rows in export (data gap, not zero sales)"
North,2026-04,96992.56,39,
North,2026-05,85749.43,37,
North,2026-06,103268.25,38,
South,2026-01,122362.81,37,
South,2026-02,86893.82,41,
South,2026-03,110051.99,40,
South,2026-04,90618.37,40,
South,2026-05,90238.14,36,
South,2026-06,112533.58,42,
East,2026-01,84404.27,42,
East,2026-02,95620.51,41,
East,2026-03,96318.86,37,
East,2026-04,99571.98,40,
East,2026-05,97261.45,37,
East,2026-06,107257.71,42,
West,2026-01,91803.36,37,
West,2026-02,90271.14,39,
West,2026-03,102480.75,36,
West,2026-04,102976.99,38,
West,2026-05,116823.74,41,
West,2026-06,108547.63,40,
