order_id,order_date,region,product_line,amount
SO-10001,1 Jan 2026,West,Subscriptions,"$1,121.20"
SO-10002,1 Jan 2026,North,Services,"$2,441.92"
SO-10003,2026-01-01,East,Subscriptions,$145.10
SO-10004,01/01/2026,West,Subscriptions,$167.83
SO-10005,01/01/2026,East,Subscriptions,"$1,400.65"
SO-10006,1 Jan 2026,South,Hardware,$917.24
SO-10007,2026-01-02,South,Services,"$4,739.56"
SO-10008,2026-01-02,South,Subscriptions,"$1,375.54"
SO-10009,2026-01-02,South,Services,"$5,163.77"
SO-10010,01/03/2026,East,Subscriptions,$562.32
SO-10011,01/03/2026,North,Services,"$4,833.31"
SO-10012,3 Jan 2026,South,Hardware,"$7,178.26"
SO-10013,4 Jan 2026,South,Subscriptions,$259.44
SO-10014,4 Jan 2026,South,Services,"$1,996.53"
SO-10015,2026-01-04,West,Services,"$4,282.35"
SO-10016,01/04/2026,South,Hardware,"$7,324.79"
SO-10017,01/04/2026,West,Hardware,"$8,419.39"
SO-10018,01/04/2026,West,Hardware,"$3,447.15"
SO-10019,2026-01-05,West,Services,"$4,787.82"
SO-10020,2026-01-05,South,Hardware,"$5,943.31"
SO-10021,01/05/2026,South,Services,$425.13
SO-10022,01/06/2026,North,Subscriptions,"$1,107.57"
SO-10023,6 Jan 2026,South,Hardware,"$5,545.50"
SO-10024,6 Jan 2026,East,Services,$483.60
SO-10025,01/06/2026,North,Subscriptions,"$1,333.48"
SO-10026,7 Jan 2026,East,Subscriptions,$346.29
SO-10027,2026-01-07,East,Subscriptions,$546.67
SO-10028,7 Jan 2026,South,Hardware,"$5,818.86"
SO-10029,7 Jan 2026,South,Subscriptions,"$1,329.64"
SO-10030,7 Jan 2026,North,Hardware,$640.95
SO-10031,2026-01-07,North,Hardware,"$5,394.44"
SO-10032,01/07/2026,East,Subscriptions,"$1,222.00"
SO-10033,8 Jan 2026,West,Subscriptions,"$1,359.58"
SO-10034,01/08/2026,North,Subscriptions,$862.07
SO-10035,8 Jan 2026,West,Services,$765.61
SO-10036,2026-01-08,South,Hardware,"$5,397.36"
SO-10037,2026-01-08,South,Subscriptions,$371.68
SO-10038,8 Jan 2026,North,Services,"$5,725.41"
SO-10039,01/09/2026,North,Hardware,"$8,420.35"
SO-10040,2026-01-09,East,Services,$479.24
SO-10041,9 Jan 2026,East,Services,"$2,533.03"
SO-10042,01/09/2026,West,Hardware,"$8,829.11"
SO-10043,9 Jan 2026,East,Subscriptions,$146.91
SO-10044,01/09/2026,East,Subscriptions,$824.72
SO-10045,2026-01-09,North,Subscriptions,$404.84
SO-10046,01/09/2026,West,Services,"$4,282.73"
SO-10047,2026-01-10,South,Services,"$3,993.92"
SO-10048,01/10/2026,West,Services,"$1,402.98"
SO-10049,2026-01-10,South,Hardware,"$3,666.01"
SO-10050,01/10/2026,South,Hardware,"$2,717.69"
SO-10051,2026-01-10,West,Subscriptions,$432.33
SO-10052,2026-01-10,East,Subscriptions,"$1,197.46"
SO-10053,11 Jan 2026,South,Subscriptions,$237.54
SO-10054,01/11/2026,South,Services,"$5,125.50"
SO-10055,01/11/2026,South,Subscriptions,$449.63
SO-10056,11 Jan 2026,South,Subscriptions,"$1,456.82"
SO-10057,01/12/2026,West,Subscriptions,"$1,145.39"
SO-10058,01/12/2026,North,Subscriptions,$82.25
SO-10059,2026-01-13,East,Services,$561.94
SO-10060,01/13/2026,West,Subscriptions,"$1,274.69"
SO-10061,2026-01-14,North,Services,"$3,016.34"
SO-10062,01/14/2026,West,Services,$387.00
SO-10063,2026-01-14,North,Services,"$3,449.61"
SO-10064,01/14/2026,North,Subscriptions,"$1,169.36"
SO-10065,14 Jan 2026,North,Subscriptions,$829.23
SO-10066,2026-01-16,North,Services,"$2,965.41"
SO-10067,2026-01-16,North,Hardware,"$7,177.94"
SO-10068,2026-01-16,East,Services,"$4,253.57"
SO-10069,16 Jan 2026,West,Subscriptions,$264.52
SO-10070,01/16/2026,West,Subscriptions,$455.42
SO-10071,17 Jan 2026,South,Subscriptions,"$1,478.26"
SO-10072,2026-01-17,South,Subscriptions,$827.10
SO-10073,17 Jan 2026,North,Hardware,$504.56
SO-10229,14 Feb 2026,South,Services,"$3,813.30"
SO-10074,17 Jan 2026,East,Hardware,"$4,165.41"
SO-10075,01/17/2026,South,Hardware,"$2,525.07"
SO-10076,2026-01-17,East,Hardware,"$4,158.91"
SO-10077,17 Jan 2026,West,Hardware,"$2,515.10"
SO-10078,01/17/2026,South,Services,"$5,454.02"
SO-10079,01/17/2026,North,Services,"$3,232.40"
SO-10080,2026-01-17,South,Services,"$5,748.70"
SO-10081,01/17/2026,East,Subscriptions,$636.61
SO-10082,2026-01-18,East,Subscriptions,$453.19
SO-10083,18 Jan 2026,South,Hardware,"$7,880.89"
SO-10084,18 Jan 2026,North,Hardware,"$4,690.12"
SO-10085,2026-01-18,South,Subscriptions,"$1,265.40"
SO-10266,02/22/2026,North,Hardware,"$3,623.49"
SO-10086,2026-01-18,South,Hardware,"$6,046.18"
SO-10087,2026-01-18,West,Services,"$5,674.67"
SO-10088,18 Jan 2026,South,Hardware,"$8,728.17"
SO-10089,19 Jan 2026,West,Services,$501.18
SO-10090,19 Jan 2026,North,Services,"$4,641.70"
SO-10091,19 Jan 2026,East,Subscriptions,"$1,432.12"
SO-10092,01/19/2026,East,Subscriptions,"$1,104.59"
SO-10093,20 Jan 2026,North,Subscriptions,$638.91
SO-10094,20 Jan 2026,West,Subscriptions,$967.00
