Statement;Settlement period;Order date;Order no.;Ship country;Item total (EUR);Marketplace fee (EUR);Payout (EUR)
2026-01;16.12.2025 - 15.01.2026;16.12.2025;302-3568268-1965106;DE;28,83;-3,76;25,07
2026-01;16.12.2025 - 15.01.2026;16.12.2025;303-3335269-8725972;BE;70,08;-8,71;61,37
2026-01;16.12.2025 - 15.01.2026;17.12.2025;303-3167208-2244324;AT;68,65;-8,54;60,11
2026-01;16.12.2025 - 15.01.2026;17.12.2025;303-7663510-6987142;DE;35,59;-4,57;31,02
2026-01;16.12.2025 - 15.01.2026;18.12.2025;305-9981906-5895071;DE;36,11;-4,63;31,48
2026-01;16.12.2025 - 15.01.2026;19.12.2025;304-1977242-1873497;FR;108,82;-13,36;95,46
2026-01;16.12.2025 - 15.01.2026;19.12.2025;305-1367452-5870355;DE;43,85;-5,56;38,29
2026-01;16.12.2025 - 15.01.2026;20.12.2025;302-2887734-8302996;AT;132,84;-16,24;116,60
2026-01;16.12.2025 - 15.01.2026;21.12.2025;302-3028222-4381347;BE;87,82;-10,84;76,98
2026-01;16.12.2025 - 15.01.2026;21.12.2025;302-4559703-7439439;DE;79,42;-9,83;69,59
2026-01;16.12.2025 - 15.01.2026;22.12.2025;304-1632635-3814790;AT;92,02;-11,34;80,68
2026-01;16.12.2025 - 15.01.2026;22.12.2025;305-7686495-5563063;IE;134,16;-16,40;117,76
2026-01;16.12.2025 - 15.01.2026;24.12.2025;306-1266278-8615693;DE;34,42;-4,43;29,99
2026-01;16.12.2025 - 15.01.2026;24.12.2025;306-6641336-5084945;DE;65,88;-8,21;57,67
2026-01;16.12.2025 - 15.01.2026;26.12.2025;304-4306362-4904369;FR;64,79;-8,07;56,72
2026-01;16.12.2025 - 15.01.2026;26.12.2025;305-4167388-3906166;AT;119,72;-14,67;105,05
2026-01;16.12.2025 - 15.01.2026;27.12.2025;302-6721653-1869034;IE;135,80;-16,60;119,20
2026-01;16.12.2025 - 15.01.2026;27.12.2025;303-5790288-8871133;DE;91,66;-11,30;80,36
2026-01;16.12.2025 - 15.01.2026;28.12.2025;304-7616620-5494911;FR;119,21;-14,61;104,60
2026-01;16.12.2025 - 15.01.2026;28.12.2025;306-7648804-2543251;BE;136,88;-16,73;120,15
2026-01;16.12.2025 - 15.01.2026;29.12.2025;305-1292353-8160864;NL;24,84;-3,28;21,56
2026-01;16.12.2025 - 15.01.2026;30.12.2025;302-2904381-1619706;DE;137,85;-16,84;121,01
2026-01;16.12.2025 - 15.01.2026;30.12.2025;306-5660312-2105062;FR;113,63;-13,94;99,69
2026-01;16.12.2025 - 15.01.2026;01.01.2026;306-1578168-7210217;DE;62,83;-7,84;54,99
2026-01;16.12.2025 - 15.01.2026;02.01.2026;306-8486151-6611691;DE;28,97;-3,78;25,19
2026-01;16.12.2025 - 15.01.2026;03.01.2026;303-3486655-2810039;BE;61,94;-7,73;54,21
2026-01;16.12.2025 - 15.01.2026;04.01.2026;304-6728013-5358280;FR;69,08;-8,59;60,49
2026-01;16.12.2025 - 15.01.2026;06.01.2026;304-7661374-5762311;DE;94,06;-11,59;82,47
2026-01;16.12.2025 - 15.01.2026;06.01.2026;304-7942379-2397425;DE;39,28;-5,01;34,27
2026-01;16.12.2025 - 15.01.2026;07.01.2026;303-4532974-2658022;NL;95,29;-11,73;83,56
2026-01;16.12.2025 - 15.01.2026;08.01.2026;304-4421011-2260395;FR;106,77;-13,11;93,66
2026-01;16.12.2025 - 15.01.2026;08.01.2026;306-3235619-1591425;IE;54,23;-6,81;47,42
2026-01;16.12.2025 - 15.01.2026;09.01.2026;304-8004420-3748309;DE;23,44;-3,11;20,33
2026-01;16.12.2025 - 15.01.2026;10.01.2026;306-8123260-4093227;AT;97,97;-12,06;85,91
