Account ID,Organization,Activity Date,Type,Owner Email,Note
NS-1051,Orchard Park HOA,2025-12-04,Call,jason.miller@northstarsigns.com,"called, left vm about the A-frame"
NS-1051,Orchard Park HOA,2026-03-16,Meeting,jason.miller@northstarsigns.com,walkthrough with landlord for the wayfinding package
NS-1051,Orchard Park HOA,2026-08-10,Call,kara.thompson@northstarsigns.com,"called the owner, wants pricing on the ADA room signs"
NS-1374,Fern Hill Pediatrics,2025-12-14,Meeting,kara.thompson@northstarsigns.com,walkthrough with landlord for the channel letters
NS-1374,Fern Hill Pediatrics,2025-12-19,Call,kara.thompson@northstarsigns.com,"left voicemail, no answer on the wayfinding package proof"
NS-1374,Fern Hill Pediatrics,2026-04-15,Meeting,kara.thompson@northstarsigns.com,"met owner on site, install booked for 10/15"
NS-1374,Fern Hill Pediatrics,2026-06-20,Email,kara.thompson@northstarsigns.com,emailed proof v2 of the ADA room signs
NS-1374,Fern Hill Pediatrics,2026-08-08,Call,kara.thompson@northstarsigns.com,"called, left vm about the ADA room signs"
NS-1038,Evergreen Credit Union,2026-01-08,Call,diego.perez@northstarsigns.com,"called, left vm about the channel letters"
NS-1436,Sunrise Senior Living,2026-03-24,Call,jason.miller@northstarsigns.com,"called the owner, wants pricing on the ADA room signs"
NS-1436,Sunrise Senior Living,2026-07-28,Email,jason.miller@northstarsigns.com,emailed proof v2 of the channel letters
NS-1436,Sunrise Senior Living,2026-07-29,Meeting,jason.miller@northstarsigns.com,stopped by with vinyl samples
NS-1351,Willamette Yoga,2026-01-29,Email,jason.miller@northstarsigns.com,emailed revised quote for the channel letters
NS-1351,Willamette Yoga,2026-02-23,Meeting,kara.thompson@northstarsigns.com,"met owner on site, install booked for 11/3"
NS-1351,Willamette Yoga,2026-04-22,Meeting,kara.thompson@northstarsigns.com,met with facilities about the ADA room signs
NS-1351,Willamette Yoga,2026-05-12,Email,kara.thompson@northstarsigns.com,emailed revised quote for the monument sign
NS-1170,Juniper Ridge Winery,2026-01-05,Call,diego.perez@northstarsigns.com,"called, left vm about the monument sign"
NS-1170,Juniper Ridge Winery,2026-07-06,Call,diego.perez@northstarsigns.com,"called the owner, wants pricing on the channel letters"
NS-1242,Copperline Salon,2025-12-04,Email,sofia.cruz@northstarsigns.com,emailed revised quote for the ADA room signs
NS-1242,Copperline Salon,2026-07-18,Call,kara.thompson@northstarsigns.com,phoned re: permit status for the wayfinding package
NS-1287,Maplewood Library Friends,2025-12-02,Email,jason.miller@northstarsigns.com,"sent quote, install booked for 9/20"
NS-1287,Maplewood Library Friends,2026-01-23,Meeting,jason.miller@northstarsigns.com,met with facilities about the monument sign
NS-1287,Maplewood Library Friends,2026-01-24,Meeting,jason.miller@northstarsigns.com,"met owner on site, install booked for 11/12"
NS-1287,Maplewood Library Friends,2026-02-15,Meeting,jason.miller@northstarsigns.com,stopped by with vinyl samples
NS-1052,Riverside Veterinary,2025-11-26,Email,diego.perez@northstarsigns.com,sent quote for window graphics plus install
NS-1052,Riverside Veterinary,2025-12-13,Meeting,kara.thompson@northstarsigns.com,"met owner on site, install booked for 11/10"
NS-1052,Riverside Veterinary,2026-04-23,Email,kara.thompson@northstarsigns.com,emailed revised quote for the monument sign
NS-1052,Riverside Veterinary,2026-08-08,Call,kara.thompson@northstarsigns.com,"called the owner, wants pricing on the vehicle wrap"
NS-1182,Beacon Insurance Group,2025-11-19,Meeting,diego.perez@northstarsigns.com,"met owner on site, install booked for 11/23"
NS-1182,Beacon Insurance Group,2026-05-27,Email,diego.perez@northstarsigns.com,emailed revised quote for the pylon sign
NS-1182,Beacon Insurance Group,2026-06-03,Email,diego.perez@northstarsigns.com,"sent quote, install booked for 9/2"
NS-1162,Tidepool Aquarium Shop,2025-11-28,Email,kara.thompson@northstarsigns.com,sent quote for blade sign plus install
NS-1162,Tidepool Aquarium Shop,2026-06-30,Call,jason.miller@northstarsigns.com,"call with GM, budget is tight until next quarter"
NS-1313,Cascade Physical Therapy,2025-11-04,Call,kara.thompson@northstarsigns.com,"left voicemail, no answer on the window graphics proof"
NS-1313,Cascade Physical Therapy,2025-12-23,Call,kara.thompson@northstarsigns.com,"call with GM, budget is tight until next quarter"
NS-1313,Cascade Physical Therapy,2026-02-08,Email,kara.thompson@northstarsigns.com,emailed revised quote for the pylon sign
