invoice_id,line_id,amount_applied
INV-2026-0401,BK-63223,7380.43
INV-2026-0402,BK-63217,8154.04
INV-2026-0403,BK-63227,956.56
INV-2026-0404,BK-63229,5899.83
INV-2026-0405,BK-63224,6900.37
INV-2026-0406,BK-63225,1719.97
INV-2026-0408,BK-63285,2326.20
INV-2026-0409,BK-63237,4491.06
INV-2026-0410,BK-63242,7013.57
INV-2026-0411,BK-63228,6661.72
INV-2026-0412,BK-63236,8593.05
INV-2026-0413,BK-63232,483.47
INV-2026-0414,BK-63238,8565.64
INV-2026-0415,BK-63230,5639.08
INV-2026-0416,BK-63233,7608.43
INV-2026-0417,BK-63234,4200.38
INV-2026-0418,BK-63248,1773.79
INV-2026-0419,BK-63251,794.59
INV-2026-0420,BK-63255,6928.59
INV-2026-0421,BK-63247,4474.03
INV-2026-0422,BK-63250,8693.18
INV-2026-0423,BK-63247,8915.34
INV-2026-0424,BK-63239,5990.26
INV-2026-0425,BK-63266,180.67
INV-2026-0426,BK-63252,554.32
INV-2026-0427,BK-63249,3315.58
INV-2026-0428,BK-63254,8239.03
INV-2026-0429,BK-63264,659.62
INV-2026-0431,BK-63262,8094.57
INV-2026-0432,BK-63244,9551.58
INV-2026-0433,BK-63243,4173.62
INV-2026-0434,BK-63257,5457.17
INV-2026-0435,BK-63245,9444.42
INV-2026-0436,BK-63253,9593.86
INV-2026-0438,BK-63267,8236.25
INV-2026-0439,BK-63263,1435.62
INV-2026-0441,BK-63258,9314.65
INV-2026-0446,BK-63256,212.64
INV-2026-0447,BK-63261,317.48
INV-2026-0448,BK-63277,7440.73
INV-2026-0451,BK-63259,6680.83
INV-2026-0452,BK-63268,6068.04
INV-2026-0453,BK-63283,2012.22
INV-2026-0454,BK-63281,6032.42
INV-2026-0455,BK-63282,2089.73
INV-2026-0459,BK-63274,6803.75
INV-2026-0460,BK-63285,1932.97
INV-2026-0466,BK-63284,390.15
