line_id,date,description,amount,type
BK-63217,07/01/2026,ACH CREDIT NORTHFIELD AUTO BODY INV-2026-0402,"8,154.04",CREDIT
BK-63218,07/01/2026,CHECK 2041,"1,645.37",DEBIT
BK-63219,07/02/2026,CARD PURCHASE STAPLES,29.75,DEBIT
BK-63220,07/03/2026,PG&E UTILITY PMT,554.58,DEBIT
BK-63221,07/06/2026,ULINE SHIPPING SUPPLIES,405.08,DEBIT
BK-63222,07/10/2026,AMAZON WEB SERVICES,715.96,DEBIT
BK-63223,07/11/2026,CHECK DEP MERIDIAN TITLE SERVI 2026-0401,"7,380.43",CREDIT
BK-63224,07/11/2026,ONLINE PMT Payment 0405 Quarry,"6,900.37",CREDIT
BK-63225,07/12/2026,DEPOSIT KESTREL ANALYTICS inv2026-0406,"1,719.97",CREDIT
BK-63226,07/12/2026,ADP PAYROLL FEES,150.44,DEBIT
BK-63227,07/13/2026,WIRE IN ELLINGTON BAKERIES REF INV 2026-0403,956.56,CREDIT
BK-63228,07/14/2026,ACH CREDIT FOXGLOVE INTERIORS 0411,"6,661.72",CREDIT
BK-63229,07/14/2026,ACH CREDIT YELLOWTAIL SEAFOOD M,"5,899.83",CREDIT
BK-63230,07/17/2026,ONLINE PMT Payment 0415 Kestrel,"5,639.08",CREDIT
BK-63231,07/17/2026,WEWORK MEMBERSHIP,526.31,DEBIT
BK-63232,07/18/2026,ACH CREDIT FOXGLOVE INTERIORS INV-2026-0413,483.47,CREDIT
BK-63233,07/18/2026,DEPOSIT BRIGHTWATER DENTAL G inv2026-0416,"7,608.43",CREDIT
BK-63234,07/21/2026,ACH CREDIT PINNACLE ROOFING INV-2026-0417,"4,200.38",CREDIT
BK-63235,07/21/2026,STATE TAX PMT,"1,790.14",DEBIT
BK-63236,07/22/2026,CHECK DEP TAMARACK BREWING 2026-0412,"8,593.05",CREDIT
BK-63237,07/24/2026,WIRE IN ELLINGTON BAKERIES INVOICE 409,"4,491.06",CREDIT
BK-63238,07/24/2026,WIRE IN KESTREL ANALYTICS REF INV 2026-0414,"8,565.64",CREDIT
BK-63239,07/25/2026,ACH CREDIT IRONWOOD FABRICATION INV-2026-0424,"5,990.26",CREDIT
BK-63240,07/27/2026,HARTFORD INSURANCE,"1,072.27",DEBIT
BK-63241,07/30/2026,IRS USATAXPYMT,"6,055.72",DEBIT
BK-63242,07/31/2026,ACH CREDIT CEDAR PINE LANDSCAPI INV#20260410,"7,013.57",CREDIT
BK-63243,08/07/2026,STRIPE TRANSFER ST-725203 BRIGHTWATER DENTAL G,"4,052.29",CREDIT
BK-63244,08/08/2026,ACH CREDIT KESTREL ANALYTICS 0432,"9,551.58",CREDIT
BK-63245,08/08/2026,CHECK DEP QUARRY ROAD NURSERY 2026-0435,"9,444.42",CREDIT
BK-63246,08/08/2026,CARD PURCHASE HOME DEPOT,363.34,DEBIT
BK-63247,08/09/2026,ACH CREDIT UPTOWN FITNESS STUDI INV 2026-0421 2026-0423,"13,389.37",CREDIT
BK-63248,08/12/2026,WIRE IN PINNACLE ROOFING INVOICE 418,"1,773.79",CREDIT
BK-63248,08/12/2026,WIRE IN PINNACLE ROOFING INVOICE 418,"1,773.79",CREDIT
BK-63249,08/12/2026,DEPOSIT TAMARACK BREWING inv2026-0427,"3,315.58",CREDIT
BK-63250,08/13/2026,CHECK DEP UPTOWN FITNESS STUDI 2026-0422,"8,693.18",CREDIT
BK-63251,08/14/2026,ACH CREDIT JUNIPER STREET CAFE INV#20260419,794.59,CREDIT
BK-63252,08/14/2026,ONLINE PMT Payment 0426 Meridian,554.32,CREDIT
BK-63253,08/14/2026,DEPOSIT NORTHFIELD AUTO BODY THANK YOU,"9,593.86",CREDIT
BK-63254,08/14/2026,INTL WIRE IN PINNACLE ROOFING SWIFT OUR REF 29918181,"8,140.16",CREDIT
BK-63255,08/15/2026,ACH CREDIT BRIGHTWATER DENTAL G 0420,"6,928.59",CREDIT
BK-63256,08/15/2026,ACH CREDIT JUNIPER STREET CAFE,212.64,CREDIT
BK-63257,08/16/2026,WIRE IN PINNACLE ROOFING,"5,457.17",CREDIT
BK-63258,08/19/2026,ONLINE PMT Payment 0441 Foxglove,"9,314.65",CREDIT
BK-63259,08/19/2026,ACH CREDIT NORTHFIELD AUTO BODY INV#20260451,"6,680.83",CREDIT
BK-63260,08/19/2026,FEDEX,274.42,DEBIT
BK-63261,08/21/2026,DEPOSIT NORTHFIELD AUTO BODY inv2026-0447,317.48,CREDIT
BK-63262,08/22/2026,ACH CREDIT CEDAR PINE LANDSCAPI INV#20260431,"8,094.57",CREDIT
BK-63263,08/22/2026,WIRE IN PINNACLE ROOFING REF INV 2026-0439,"1,435.62",CREDIT
BK-63264,08/23/2026,WIRE IN SILVERLINE LOGISTICS INVOICE 429,659.62,CREDIT
BK-63265,08/23/2026,ZELLE TO JORDAN LEE,331.73,DEBIT
BK-63266,08/24/2026,WIRE IN JUNIPER STREET CAFE REF INV 2026-0425,180.67,CREDIT
BK-63267,08/24/2026,ACH CREDIT KESTREL ANALYTICS INV-2026-0438,"8,236.25",CREDIT
BK-63268,08/24/2026,WIRE IN PINNACLE ROOFING,"6,068.04",CREDIT
BK-63269,08/27/2026,PAYROLL GUSTO,"17,865.68",DEBIT
BK-63270,08/28/2026,COMCAST BUSINESS,230.10,DEBIT
BK-63271,08/31/2026,INTEREST PAID,6.36,CREDIT
BK-63272,08/31/2026,CHEVRON FUEL,139.08,DEBIT
BK-63273,08/31/2026,MONTHLY SERVICE FEE,25.00,DEBIT
BK-63274,09/01/2026,CHECK DEP QUARRY ROAD NURSERY 2026-0459,"6,803.75",CREDIT
BK-63275,09/02/2026,REFUND GRAINGER ORD 93239,763.50,CREDIT
BK-63276,09/03/2026,CHECK 2042,"2,330.92",DEBIT
BK-63277,09/04/2026,WIRE IN MERIDIAN TITLE SERVI INVOICE 448,"7,440.73",CREDIT
BK-63278,09/05/2026,ACH CREDIT CEDAR PINE LANDSCAPI INV-2026-0372,"2,613.67",CREDIT
BK-63279,09/05/2026,QUICKBOOKS ONLINE,70.71,DEBIT
BK-63280,09/06/2026,VERIZON WIRELESS,219.38,DEBIT
BK-63281,09/07/2026,ONLINE PMT JUNIPER STREET CAFE INVOICE,"6,032.42",CREDIT
BK-63282,09/09/2026,ACH CREDIT SILVERLINE LOGISTICS INV-2026-0408,"2,089.73",CREDIT
BK-63283,09/10/2026,ACH CREDIT FOXGLOVE INTERIORS 0453,"2,012.22",CREDIT
BK-63284,09/10/2026,ACH CREDIT YELLOWTAIL SEAFOOD M INV-2026-0466,390.15,CREDIT
BK-63285,09/10/2026,WIRE IN DORSEY FREIGHT,"4,259.17",CREDIT
