line_id,date,description,amount,type
BK-63851,07/05/2026,WEWORK MEMBERSHIP,"1,390.84",DEBIT
BK-63852,07/11/2026,ACH CREDIT YELLOWTAIL SEAFOOD M,"5,899.83",CREDIT
BK-63853,07/11/2026,HARTFORD INSURANCE,459.72,DEBIT
BK-63854,07/12/2026,WIRE IN TAMARACK BREWING REF INV 2026-0412,"8,593.05",CREDIT
BK-63855,07/13/2026,ACH CREDIT NORTHFIELD AUTO BODY INV#20260402,"8,154.04",CREDIT
BK-63856,07/14/2026,ONLINE PMT Payment 0405 Quarry,"6,900.37",CREDIT
BK-63856,07/14/2026,ONLINE PMT Payment 0405 Quarry,"6,900.37",CREDIT
BK-63857,07/14/2026,CARD PURCHASE HOME DEPOT,310.54,DEBIT
BK-63858,07/15/2026,WIRE IN MERIDIAN TITLE SERVI REF INV 2026-0401,"7,380.43",CREDIT
BK-63859,07/16/2026,ACH CREDIT KESTREL ANALYTICS INV-2026-0414,"8,565.64",CREDIT
BK-63860,07/17/2026,ACH CREDIT ELLINGTON BAKERIES INV-2026-0403,956.56,CREDIT
BK-63861,07/19/2026,ACH CREDIT FOXGLOVE INTERIORS 0411,"6,661.72",CREDIT
BK-63862,07/19/2026,WIRE IN JUNIPER STREET CAFE INVOICE 419,794.59,CREDIT
BK-63863,07/20/2026,CHECK 2042,995.61,DEBIT
BK-63864,07/20/2026,COMCAST BUSINESS,200.39,DEBIT
BK-63865,07/26/2026,CHEVRON FUEL,116.21,DEBIT
BK-63866,07/27/2026,ACH CREDIT FOXGLOVE INTERIORS INV#20260413,483.47,CREDIT
BK-63867,07/28/2026,ACH CREDIT BRIGHTWATER DENTAL G 0420,"6,928.59",CREDIT
BK-63868,07/28/2026,QUICKBOOKS ONLINE,32.53,DEBIT
BK-63869,07/29/2026,CARD PURCHASE STAPLES,150.27,DEBIT
BK-63870,07/30/2026,CHECK DEP KESTREL ANALYTICS 2026-0406,"1,719.97",CREDIT
BK-63871,07/30/2026,DEPOSIT PINNACLE ROOFING inv2026-0418,"1,773.79",CREDIT
BK-63872,07/31/2026,DEPOSIT ELLINGTON BAKERIES inv2026-0409,"4,491.06",CREDIT
BK-63873,07/31/2026,CHECK DEP BRIGHTWATER DENTAL G 2026-0416,"7,608.43",CREDIT
BK-63874,08/01/2026,WIRE IN CEDAR PINE LANDSCAPI INVOICE 410,"7,013.57",CREDIT
BK-63875,08/01/2026,WIRE IN UPTOWN FITNESS STUDI REF INV 2026-0422,"8,693.18",CREDIT
BK-63876,08/02/2026,CHECK DEP TAMARACK BREWING 2026-0427,"3,315.58",CREDIT
BK-63877,08/02/2026,STATE TAX PMT,"2,490.39",DEBIT
BK-63878,08/04/2026,DEPOSIT PINNACLE ROOFING inv2026-0428,"8,239.03",CREDIT
BK-63879,08/04/2026,ACH CREDIT PINNACLE ROOFING INV-2026-0417,"4,200.38",CREDIT
BK-63880,08/05/2026,ONLINE PMT Payment 0415 Kestrel,"5,639.08",CREDIT
BK-63881,08/07/2026,ACH CREDIT UPTOWN FITNESS STUDI INV 2026-0421 2026-0423,"13,389.37",CREDIT
BK-63882,08/07/2026,AMAZON WEB SERVICES,780.17,DEBIT
BK-63883,08/10/2026,PG&E UTILITY PMT,184.27,DEBIT
BK-63884,08/11/2026,ONLINE PMT Payment 0438 Kestrel,"8,236.25",CREDIT
BK-63885,08/11/2026,ZELLE TO JORDAN LEE,643.45,DEBIT
BK-63886,08/12/2026,CHECK DEP PINNACLE ROOFING 2026-0439,"1,435.62",CREDIT
BK-63887,08/14/2026,WIRE IN KESTREL ANALYTICS REF INV 2026-0432,"9,551.58",CREDIT
BK-63888,08/14/2026,ACH CREDIT JUNIPER STREET CAFE,212.64,CREDIT
BK-63889,08/17/2026,ACH CREDIT IRONWOOD FABRICATION INV#20260424,"5,990.26",CREDIT
BK-63890,08/17/2026,ACH CREDIT JUNIPER STREET CAFE INV-2026-0425,180.67,CREDIT
BK-63891,08/17/2026,WIRE IN NORTHFIELD AUTO BODY INVOICE 447,317.48,CREDIT
BK-63892,08/17/2026,REFUND ULINE ORD 38853,426.89,CREDIT
BK-63893,08/18/2026,VERIZON WIRELESS,171.47,DEBIT
BK-63894,08/19/2026,WIRE IN SILVERLINE LOGISTICS INVOICE 429,659.62,CREDIT
BK-63895,08/19/2026,ACH CREDIT CEDAR PINE LANDSCAPI 0431,"8,094.57",CREDIT
BK-63896,08/19/2026,WIRE IN PINNACLE ROOFING,"5,457.17",CREDIT
BK-63897,08/21/2026,ACH CREDIT MERIDIAN TITLE SERVI 0448,"7,440.73",CREDIT
BK-63898,08/21/2026,IRS USATAXPYMT,"2,613.02",DEBIT
BK-63899,08/24/2026,RENT 44 MARKET ST PROPERTIES,"5,242.76",DEBIT
BK-63900,08/25/2026,ACH CREDIT QUARRY ROAD NURSERY INV-2026-0435,"9,444.42",CREDIT
BK-63901,08/25/2026,DEPOSIT NORTHFIELD AUTO BODY THANK YOU,"9,593.86",CREDIT
