event_id,occurred_at_utc,account_id,event_type,previous_plan,new_plan,actor
PC-30210,2026-02-11T18:05:00Z,ACC-4100,plan.changed,studio,multi,support-bot
PC-30217,2026-02-12T17:31:00Z,ACC-4399,plan.changed,studio,studio_plus,maria.l
PC-30224,2026-02-14T19:02:00Z,ACC-4269,plan.changed,solo,studio,jonah.b
PC-30231,2026-02-17T23:40:00Z,ACC-4113,plan.changed,multi,studio_plus,support-bot
PC-30238,2026-02-19T19:30:00Z,ACC-4178,plan.changed,studio,studio_plus,maria.l
PC-30245,2026-02-23T17:12:00Z,ACC-4165,plan.changed,studio,studio_plus,jonah.b
PC-30252,2026-02-26T20:07:00Z,ACC-4295,plan.changed,studio_plus,multi,support-bot
PC-30259,2026-03-04T21:22:00Z,ACC-4139,plan.changed,studio,studio_plus,self-serve
PC-30266,2026-03-09T23:48:00Z,ACC-4230,plan.changed,solo,studio_plus,jonah.b
PC-30273,2026-03-12T21:02:00Z,ACC-4152,plan.changed,solo,studio_plus,self-serve
PC-30280,2026-03-12T21:19:00Z,ACC-4152,plan.changed,studio_plus,solo,maria.l
PC-30287,2026-03-19T17:51:00Z,ACC-4139,plan.changed,studio_plus,multi,jonah.b
PC-30294,2026-03-21T20:27:00Z,ACC-4347,plan.changed,studio,solo,jonah.b
PC-30301,2026-03-24T19:03:00Z,ACC-4243,plan.changed,multi,studio_plus,support-bot
PC-30308,2026-04-01T01:44:00Z,ACC-4308,plan.changed,studio,studio_plus,maria.l
PC-30315,2026-04-01T05:40:00Z,ACC-4126,plan.changed,solo,studio,support-bot
PC-30322,2026-04-08T16:00:00Z,ACC-4191,plan.changed,studio_plus,studio,jonah.b
PC-30329,2026-04-15T00:25:00Z,ACC-4204,plan.changed,studio,studio_plus,jonah.b
PC-30336,2026-04-27T15:44:00Z,ACC-4217,plan.changed,studio_plus,studio,self-serve
PC-30343,2026-04-29T21:37:00Z,ACC-4373,plan.changed,studio,studio_plus,maria.l
