SKU,Product,Wholesale
BDY-109,Balloon bouquet,1.90
BDY-112,Confetti burst,3.45
BDY-115,Party hat corgi,2.60
BDY-118,Rocket candle,1.90
EVD-121,Blue bicycle,3.35
EVD-124,Letterpress alphabet,3.15
EVD-127,Paper boats,2.45
EVD-130,Tiny cactus,1.65
HOL-133,Candlelit window,1.95
HOL-136,Frosted pinecone,2.10
HOL-139,Pine sprig,2.65
HOL-142,Snowy owl,1.85
HOL-145,Starry sleigh ride,2.80
NB-148,Dot grid journal,5.03
NB-151,Lined jotter trio,4.92
NB-154,Pocket notebook kraft,8.78
PRT-100,Bee study print,26.40
PRT-103,Botanical fern print,12.25
PRT-106,Harbor map print,19.35
SYM-157,Evening lantern,3.10
SYM-160,Forget-me-nots,1.55
SYM-163,Quiet harbor,2.70
SYM-166,Willow branch,1.70
TY-169,Grateful garden,2.20
TY-172,Hummingbird note,3.05
TY-175,Paper crane,1.85
TY-178,Pressed fern,3.10
WED-181,Just married tandem,2.05
WED-184,Rings and roses,2.65
