MES batch record export - August 2026 - dates DD/MM/YYYY

Batch,Date,Line,SKU,Batch type,Rework of,Qty in,Unit in,Good qty,Good unit,Scrap qty,Scrap unit,Operator notes
BR0803-1,03/08/2026,Bar line,BAR-CHO-45,Production,,1231,kg,1281,cs,52.6,kg,
BT0803-1,03/08/2026,Bites line,BITE-DATE-12,Production,,161,kg,"12,636",pcs,6.36,kg,
BT0803-2,03/08/2026,Bites line,BITE-DATE-12,Production,,170,kg,"12,762",pcs,14.93,kg,
GR0803-1,03/08/2026,Granola line,GRN-CIN-500,Production,,751,kg,1386,bags,27.4,kg,
BR0804-1,04/08/2026,Bar line,BAR-PB-42,Production,,1143,kg,"1,070",cs,39.7,kg,
BR0804-2,04/08/2026,Bar line,BAR-PB-42,Production,,1045,kg,984,cs,31.5,kg,
BT0804-1,04/08/2026,Bites line,BITE-COCO-14,Production,,205,kg,"13,409",pcs,11730,g,
BT0804-2,04/08/2026,Bites line,BITE-COCO-14,Production,,161,kg,10381,pcs,12.49,kg,
GR0804-1,04/08/2026,Granola line,GRN-HON-340,Production,,647,kg,"1,695",bags,28.1,kg,
BR0805-1,05/08/2026,Bar line,BAR-OAT-42,Production,,1116,kg,1047,cs,51.2,kg,
BR0805-2,05/08/2026,Bar line,BAR-CHO-45,Production,,1094,kg,1126,cs,53.7,kg,
BR0805-3,05/08/2026,Bar line,BAR-PRO-50,Trial,,204,kg,122.4,kg,71.4,kg,R&D trial - new recipe
BT0805-1,05/08/2026,Bites line,BITE-DATE-12,Production,,147,kg,"11,571",pcs,"5,630",g,
BT0805-2,05/08/2026,Bites line,BITE-COCO-14,Production,,258,kg,"16,965",pcs,16470,g,
GR0805-1,05/08/2026,Granola line,GRN-CIN-500,Production,,729,kg,1361,bags,13.4,kg,
BR0806-1,06/08/2026,Bar line,BAR-CHO-45,Production,,863,kg,899,cs,44.8,kg,
BR0806-2,06/08/2026,Bar line,BAR-OAT-42,Production,,1006,kg,21870,pcs,68.5,kg,
BT0806-1,06/08/2026,Bites line,BITE-DATE-12,Production,,198,kg,15467,pcs,9.71,kg,
GR0806-1,06/08/2026,Granola line,GRN-CIN-500,Production,,874,kg,787.6,kg,29.5,kg,
GR0806-2,06/08/2026,Granola line,GRN-HON-340,Production,,620,kg,1712,bags,12.2,kg,
BR0807-1,07/08/2026,Bar line,BAR-PB-42,Production,,1227,kg,"1,121",cs,76.2,kg,
BT0807-1,07/08/2026,Bites line,BITE-DATE-12,Production,,169,kg,"12,975",pcs,9930,g,
GR0807-1,07/08/2026,Granola line,GRN-HON-340,Production,,680,kg,1834,bags,22.2,kg,
GR0807-2,07/08/2026,Granola line,GRN-CIN-500,Production,,702,kg,635.9,kg,31.8,kg,
BR0810-1,10/08/2026,Bar line,BAR-PB-42,Production,,904,kg,19836,pcs,59.7,kg,
BR0810-2,10/08/2026,Bar line,BAR-PB-42,Production,,1078,kg,1002,cs,42.6,kg,
BT0810-1,10/08/2026,Bites line,BITE-COCO-14,Production,,207,kg,13111,pcs,17610,g,
GR0810-1,10/08/2026,Granola line,GRN-CIN-500,Production,,641,kg,1185,bags,12,kg,
GR0810-2,10/08/2026,Granola line,GRN-HON-340,Production,,714,kg,"1,911",bags,14.4,kg,
BR0811-1,11/08/2026,Bar line,BAR-CHO-45,Production,,1027,kg,"21,082",pcs,55.5,kg,
BR0811-2,11/08/2026,Bar line,BAR-PB-42,Production,,1036,kg,"23,020",pcs,59.5,kg,
BT0811-1,11/08/2026,Bites line,BITE-DATE-12,Production,,146,kg,11289,pcs,8.86,kg,
BT0811-2,11/08/2026,Bites line,BITE-DATE-12,Production,,201,kg,15609,pcs,"8,490",g,
GR0811-1,11/08/2026,Granola line,GRN-CIN-500,Production,,623,kg,566.1,kg,21.7,kg,
BR0812-1,12/08/2026,Bar line,BAR-CHO-45,Production,,1019,kg,"21,064",pcs,56.5,kg,
BR0812-2,12/08/2026,Bar line,BAR-CHO-45,Production,,1228,kg,"1,255",cs,81.8,kg,
BT0812-1,12/08/2026,Bites line,BITE-COCO-14,Production,,160,kg,"10,492",pcs,9260,g,
BT0812-2,12/08/2026,Bites line,BITE-COCO-14,Rework,BT0810-1,11.5,kg,654,pcs,2220,g,rework of BT0810-1 quarantine
GR0812-1,12/08/2026,Granola line,GRN-CIN-500,Production,,769,kg,"1,386",bags,23.9,kg,
GR0812-2,12/08/2026,Granola line,GRN-KETO-300,Trial,,220,kg,132,kg,77,kg,R&D trial - new recipe
BR0813-1,13/08/2026,Bar line,BAR-CHO-45,Production,,1232,kg,1264,cs,72.6,kg,
BR0813-2,13/08/2026,Bar line,BAR-OAT-42,Production,,1076,kg,967,cs,73.7,kg,
BT0813-1,13/08/2026,Bites line,BITE-COCO-14,Production,,161,kg,10832,pcs,6930,g,
