Order,Created,Channel,Status,Subtotal,Discount,Shipping,Tax,Total,Discount codes
WS-58210,2026-08-01 08:00,Online Store,completed,99.49,0.00,7.99,7.21,114.69,
WS-58211,2026-08-01 08:39,Online Store,completed,72.89,0.00,0.00,5.28,78.17,FREESHIP50
WS-58212,2026-08-01 09:39,POS,completed,16.49,0.00,0.00,1.20,17.69,
WS-58213,2026-08-01 09:46,POS,completed,99.68,0.00,0.00,7.23,106.91,
WS-58214,2026-08-01 09:57,Online Store,completed,90.27,9.03,7.99,5.89,95.12,TEACHER10
WS-58215,2026-08-01 10:04,POS,completed,89.85,8.98,0.00,5.86,86.73,Teacher 10
WS-58216,2026-08-01 10:07,POS,completed,84.76,12.71,0.00,5.22,77.27,SUMMERREADS15
WS-58217,2026-08-01 11:02,Online Store,completed,104.07,0.00,0.00,7.55,111.62,free ship 50
WS-58218,2026-08-01 11:35,POS,completed,125.26,0.00,0.00,9.08,134.34,
WS-58219,2026-08-01 11:38,Online Store,completed,73.98,0.00,7.99,5.36,87.33,
WS-58220,2026-08-01 14:36,Online Store,completed,28.69,0.00,5.99,2.08,36.76,
WS-58221,2026-08-01 15:43,Online Store,completed,99.47,9.95,0.00,6.49,96.01,"Freeship50,Teacher 10"
WS-58222,2026-08-01 15:51,Online Store,completed,28.17,4.23,5.99,1.74,31.67,summerreads15
WS-58223,2026-08-01 17:34,Online Store,completed,87.28,0.00,0.00,6.33,93.61,FREESHIP50
WS-58224,2026-08-01 18:24,POS,completed,138.00,20.00,0.00,8.55,126.55, BOOKCLUB20
WS-58225,2026-08-01 21:45,POS,completed,78.77,7.88,0.00,5.14,76.03,TEACHER10 
WS-58226,2026-08-02 08:16,Online Store,completed,85.43,12.81,0.00,5.26,77.88,"freeship50,SUMMERREADS15"
WS-58227,2026-08-02 08:25,Online Store,completed,61.94,0.00,7.99,4.49,74.42,
WS-58228,2026-08-02 09:14,Online Store,completed,46.34,6.95,5.99,2.86,48.24,Summerreads15
WS-58229,2026-08-02 10:20,POS,completed,87.16,0.00,0.00,6.32,93.48,
WS-58230,2026-08-02 11:31,POS,completed,43.56,6.53,0.00,2.68,39.71,summerreads15
WS-58231,2026-08-02 13:21,Online Store,completed,34.73,5.21,5.99,2.14,37.65,Summer Reads15
WS-58232,2026-08-02 14:41,Online Store,completed,68.42,0.00,7.99,4.96,81.37,
WS-58233,2026-08-02 17:13,Online Store,completed,59.98,0.00,7.99,4.35,72.32,
WS-58234,2026-08-02 17:49,Online Store,completed,18.85,0.00,5.99,1.37,26.21,
WS-58235,2026-08-02 18:41,POS,completed,25.06,0.00,0.00,1.82,26.88,
WS-58236,2026-08-02 19:56,Online Store,completed,30.96,0.00,5.99,2.24,39.19,
WS-58237,2026-08-02 21:36,POS,completed,56.82,5.68,0.00,3.71,54.85,Teacher 10
WS-58238,2026-08-03 09:19,Online Store,completed,31.21,0.00,5.99,2.26,39.46,
WS-58239,2026-08-03 09:22,POS,completed,33.30,0.00,0.00,2.41,35.71,
WS-58240,2026-08-03 10:38,Online Store,completed,67.62,13.52,7.99,3.92,66.01,spring 2026
WS-58241,2026-08-03 12:08,Online Store,completed,193.32,20.00,7.99,12.57,193.88,BOOKCLUB20
WS-58242,2026-08-03 13:22,POS,completed,53.18,0.00,0.00,3.86,57.04,
WS-58243,2026-08-03 17:28,Online Store,completed,112.23,0.00,7.99,8.14,128.36,
WS-58244,2026-08-03 17:46,Online Store,completed,17.30,0.00,5.99,1.25,24.54,
WS-58245,2026-08-03 18:23,POS,completed,14.63,2.19,0.00,0.90,13.34,Summer Reads15
WS-58246,2026-08-03 18:55,Online Store,completed,194.73,20.00,7.99,12.67,195.39,bookclub20
WS-58247,2026-08-03 19:25,POS,completed,109.54,10.95,0.00,7.15,105.74,TEACHER10
WS-58248,2026-08-03 20:27,Online Store,completed,47.85,7.18,5.99,2.95,49.61,SUMMERREADS15
WS-58249,2026-08-03 21:35,Online Store,completed,17.68,2.65,5.99,1.09,22.11,Summer Reads15
WS-58250,2026-08-03 21:46,Online Store,completed,22.45,0.00,5.99,1.63,30.07,
WS-58251,2026-08-03 21:55,POS,completed,35.48,0.00,0.00,2.57,38.05,
WS-58252,2026-08-04 08:39,POS,completed,64.46,0.00,0.00,4.67,69.13,
WS-58253,2026-08-04 12:05,POS,completed,48.23,4.82,0.00,3.15,46.56,teacher10
WS-58254,2026-08-04 13:18,Online Store,completed,97.26,0.00,7.99,7.05,112.30,
WS-58255,2026-08-04 13:46,Online Store,completed,182.33,20.00,7.99,11.77,182.09,BOOKCLUB20
