receipt_no,date,merchant,subtotal,tax,tip,total
1991,2026-09-08,Rio Grande Cantina,53.67,4.46,11.00,69.13
5497,2026-09-08,Mile High Cab Co,31.53,0.00,8.00,39.53
2516,2026-09-09,Snooze an AM Eatery,31.83,2.65,5.00,39.48
32289,2026-09-09,FedEx Office,42.23,3.51,0.00,45.74
746930,2026-09-09,Corvus Coffee Roasters,9.50,0.79,1.00,11.29
3818,2026-09-10,Guard and Grace,149.16,12.40,30.00,191.56
4075,2026-09-10,Tavernetta,92.96,7.72,22.00,122.68
46890,2026-09-11,Larimer Square Hotel,717.00,112.92,0.00,829.92
52407,2026-09-11,Hudson News,19.67,1.63,0.00,21.30
84104,2026-09-11,Pikes Peak Parking,64.00,0.00,0.00,64.00
961,2026-09-11,Shell,47.98,0.00,0.00,47.98
