Sales by territory (v2 export)
Range 05/27/2026 - 06/30/2026
"Document","Posting Date","Sales Territory","Customer Name","Net Amount"
"SO-40274","28-May-2026","Atlantic","Acme Industrial","3,724.74 USD"
"SO-40321","05/28/2026","Gulf","Vantage Point Media","2,709.38"
"SO-40318","05/29/2026","Gulf","Tamarack Brewing","4,069.71"
"SO-40365","2026-05-29","Pacific","Vantage Point Media","$7,046.38"
"SO-40313","29-May-2026","Gulf","Northfield Auto Body","3,120.45 USD"
"SO-40360","05/30/2026","Pacific","Dorsey Freight","5,798.54"
"SO-40289","31-May-2026","Atlantic","Thistle & Thread Alterations","8,930.04 USD"
"SO-40280","31-May-2026","Atlantic","Kingfisher Charters","2,871.02 USD"
"SO-40306","05/31/2026","Gulf","Dorsey Freight","5,051.09"
"SO-40267","05/31/2026","Atlantic","Larkspur Yoga","3,945.71"
"SO-40347","2026-05-31","Great Lakes","Acme Industrial","$8,486.77"
"SO-40329","2026-05-31","Great Lakes","Harbor Light Marine","$3,448.98"
"SO-40519","06/01/2026","Pacific","Riverbend Physio","398.14"
"SO-40470","2026-06-01","Mountain","Ivy Lane Florist","$606.51"
"SO-40518","2026-06-01","Pacific","Cedar & Pine Landscaping","$5,096.97"
"SO-40507","06/01/2026","Pacific","Yellowtail Seafood","4,200.49"
"SO-40478","01-Jun-2026","Mountain","Granite Peak Outfitters","6,173.32 USD"
"SO-40379","01-Jun-2026","Atlantic","Mossbank Accounting","7,458.31 USD"
"SO-40388","02-Jun-2026","Atlantic","Larkspur Yoga","2,444.03 USD"
"SO-40523","02-Jun-2026","Pacific","Vantage Point Media","3,220.97 USD"
"SO-40493","02-Jun-2026","Mountain","Tamarack Brewing","3,683.19 USD"
"SO-40495","06/02/2026","Mountain","Northfield Auto Body","6,683.29"
"SO-40514","02-Jun-2026","Pacific","Granite Peak Outfitters","5,620.65 USD"
"SO-40522","06/02/2026","Pacific","Pinnacle Roofing","8,935.32"
"SO-40491","2026-06-02","Mountain","Thistle & Thread Alterations","$1,307.65"
"SO-40472","03-Jun-2026","Mountain","Larkspur Yoga","7,575.73 USD"
"SO-40403","03-Jun-2026","Atlantic","Juniper Street Cafe","7,301.37 USD"
"SO-40406","03-Jun-2026","Atlantic","Pinnacle Roofing","7,867.29 USD"
"SO-40433","03-Jun-2026","Gulf","Vantage Point Media","8,364.18 USD"
"SO-40447","06/03/2026","Great Lakes","Mossbank Accounting","4,282.34"
"SO-40453","06/03/2026","Great Lakes","Saltmarsh Kayaks","2,510.24"
"SO-40387","06/03/2026","Atlantic","Nightjar Coffee Roasters","1,159.97"
"SO-40436","03-Jun-2026","Gulf","Orchard Hill Dental","3,839.14 USD"
"SO-40466","04-Jun-2026","Great Lakes","Pemberton HVAC","1,474.80 USD"
"SO-40467","2026-06-04","Great Lakes","Redwood Property Mgmt","$4,390.00"
"SO-40509","2026-06-04","Pacific","Pemberton HVAC","$6,054.89"
"SO-40450","06/05/2026","Great Lakes","Pemberton HVAC","1,278.03"
"SO-40461","2026-06-05","Great Lakes","Cedar & Pine Landscaping","$4,246.95"
"SO-40382","06-Jun-2026","Atlantic","Lakeside Veterinary","3,656.07 USD"
"SO-40515","2026-06-06","Pacific","Ironwood Fabrication","$2,913.47"
"SO-40390","06/06/2026","Atlantic","Quill & Ink Print Shop","1,502.83"
"SO-40430","06-Jun-2026","Gulf","Quill & Ink Print Shop","4,777.76 USD"
"SO-40383","2026-06-07","Atlantic","Everline Insurance","$2,412.69"
"SO-40407","2026-06-07","Atlantic","Umber Ceramics","$6,703.90"
"SO-40520","07-Jun-2026","Pacific","Redwood Property Mgmt","2,942.82 USD"
"SO-40502","08-Jun-2026","Pacific","Quill & Ink Print Shop","694.94 USD"
"SO-40503","2026-06-08","Pacific","Pinnacle Roofing","$6,652.77"
"SO-40428","2026-06-08","Gulf","Granite Peak Outfitters","$1,004.77"
"SO-40512","2026-06-08","Pacific","Quill & Ink Print Shop","$6,961.41"
"SO-40381","06/08/2026","Atlantic","Ellington Bakeries","7,202.17"
"SO-40394","09-Jun-2026","Atlantic","Yellowtail Seafood","8,562.28 USD"
"SO-40397","09-Jun-2026","Atlantic","Quarry Road Nursery","3,422.26 USD"
"SO-40485","2026-06-09","Mountain","Valley Forge Storage","$7,596.28"
"SO-40521","2026-06-09","Pacific","Oakhurst Pediatrics","$1,942.16"
"SO-40458","2026-06-09","Great Lakes","Hollowell Electric","$738.40"
"SO-40395","2026-06-09","Atlantic","Lakeside Veterinary","$7,251.38"
"SO-40399","06/09/2026","Atlantic","Oakhurst Pediatrics","2,064.95"
"SO-40419","2026-06-09","Gulf","Acme Industrial","$6,693.27"
"SO-40438","06/09/2026","Great Lakes","Westbrook Plumbing","4,499.19"
"SO-40410","2026-06-10","Gulf","Northfield Auto Body","$6,583.77"
"SO-40487","10-Jun-2026","Mountain","Acme Industrial","5,688.89 USD"
"SO-40506","2026-06-10","Pacific","Fernbrook Montessori","$4,741.45"
"SO-40494","2026-06-10","Mountain","Pemberton HVAC","$8,116.30"
"SO-40500","2026-06-10","Pacific","Silverline Logistics","$3,676.78"
"SO-40445","11-Jun-2026","Great Lakes","Yellowtail Seafood","6,982.54 USD"
"SO-40480","06/11/2026","Mountain","Ellington Bakeries","6,064.71"
"SO-40460","11-Jun-2026","Great Lakes","Vantage Point Media","8,540.98 USD"
"SO-40449","2026-06-11","Great Lakes","Yellowtail Seafood","$2,219.76"
"SO-40469","12-Jun-2026","Mountain","Oakhurst Pediatrics","8,539.45 USD"
"SO-40446","2026-06-12","Great Lakes","Pemberton HVAC","$978.57"
"SO-40431","2026-06-13","Gulf","Larkspur Yoga","$3,521.65"
"SO-40402","06/13/2026","Atlantic","Zephyr Bike Works","2,059.04"
"SO-40477","06/14/2026","Mountain","Riverbend Physio","4,529.31"
"SO-40497","2026-06-14","Pacific","Quill & Ink Print Shop","$3,346.13"
