RentEasy lease table export
Exported 10/01/2026 07:02
Lease #,Property,Unit,Tenant IDs,Start,End,Rent,Deposit,Notes
L-3164,ALDER COURT,202,T-1070,07/01/2026,06/30/2027,"$1,570.00 monthly","$1,570.00",
L-3269,Birch Hse,203,T-1124,10/01/2026,09/30/2027,"$2,010/mo","$2,010.00",
L-3206,Birch Hse,101,T-1091,08/01/2025,07/31/2026,"$1,935/mo","$1,935.00",
L-3262,Birch Hse,202,T-1121,2025-07-01,2026-06-30,"$1,655.00 monthly","$1,655.00",month to month since lease end
L-3108,Alder Ct,102,T-1043,09/01/2026,08/31/2027,"$1,265/mo","$1,265.00",
L-3150,Alder Ct,107,T-1064,2026-06-01,2027-05-31,1065 / month,"$1,065.00",
L-3283,Birch Hse,205,T-1130,2025-11-01,2026-10-31,1105 / month,"$1,105.00",
L-3136,ALDER COURT,106,T-1058,2025-09-16,2026-09-15,"$1,530/mo","$1,530.00",
L-3220,Birch Hse,102,T-1100,2025-11-01,2026-10-31,"$1,580/mo","$1,580.00",
L-3157,Alder Court,201,T-1067,2026-09-01,2027-08-31,"$2,095.00","$2,095.00",
L-3241,Birch Hse,#105,T-1109,2026-10-01,2027-09-30,"$1,710/mo","$1,710.00",
L-3115,Alder Court,#103,T-1046,2025-04-01,2026-03-31,"$1,115/mo","$1,115.00",MTM
L-3178,Alder Court,#203,T-1076,06/16/2026,06/15/2027,"$1,245.00","$1,245.00",
L-3192,Alder Court,#206,T-1082,01/01/2026,12/31/2026,"$1,265.00","$1,265.00",
L-3129,ALDER COURT,#105,T-1055,06/01/2026,05/31/2027,"$1,735/mo","$1,735.00",
L-3101,Alder Court,#101,T-1040,2026-01-01,2026-12-31,"$1,590/mo","$1,590.00",
L-3213,Birch House,#101,T-1094; T-1097,2026-08-16,2027-08-15,"$2,070/mo","$2,070.00",
L-3122,Alder Court,#104,T-1049; T-1052,09/01/2026,08/31/2027,"$1,015/mo","$1,015.00",
L-3276,Birch Hse,#204,T-1127,2026-02-01,2027-01-31,"$1,690.00","$1,690.00",
L-3185,Alder Court,Apt 204,T-1079,2025-04-01,2026-03-31,"$1,180/mo","$1,180.00",month to month since lease end
L-3171,ALDER COURT,Apt 203,T-1073,2025-06-01,2026-05-31,"$1,110/mo","$1,110.00",
L-3227,Birch House,Apt 103,T-1103,01/01/2026,12/31/2026,"$1,695.00","$1,695.00",
L-3143,ALDER COURT,Apt 106,T-1061,10/15/2026,10/14/2027,"$1,605/mo","$1,605.00","signed 9/20, keys 10/15"
L-3199,ALDER COURT,Apt 207,T-1085; T-1088,2025-11-01,2026-10-31,"$1,975/mo","$1,975.00",
L-3248,Birch House,Apt 201,T-1112,07/01/2025,06/30/2026,"$1,855.00 monthly","$1,855.00",
L-3255,BIRCH HOUSE,Apt 201,T-1115; T-1118,2026-07-16,2027-07-15,"$1,990.00 monthly","$1,990.00",
L-3234,Birch House,Apt 104,T-1106,2025-09-01,2026-08-31,"$1,625.00","$1,625.00",
