machine,jan,feb,mar,apr,may,jun,total
Kubota KX040 Mini Excavator,15,17,23,18,23,17,113
Kubota U17 Mini Excavator,16,15,14,19,17,15,96
Skid Steer #1,16,20,15,17,20,15,103
Bobcat T76 Track Loader,16,20,14,14,16,21,101
Genie GS-1930 Scissor Lift,19,16,22,23,21,24,125
Genie GS-2632 Scissor Lift,27,13,21,20,24,23,128
JLG 450AJ Boom Lift,25,19,27,22,15,27,135
Toro Dingo TX 1000,15,12,23,19,10,22,101
Towable Air Compressor 185 CFM,8,15,13,10,15,16,77
Hot Water Pressure Washer,14,16,15,18,12,14,89
Plate Compactor,16,13,14,14,15,11,83
Generator 7kW,14,11,16,9,14,13,77
