order_id,order_date,sku,product_name,qty,unit_price
ORD-30549,2026-04-01,WB-1L,Water Bottle 1L,1,32.00
ORD-30550,2026-04-01,MC-01,Map Case,2,14.00
ORD-30679,2026-04-01,WB-1L,Water Bottle 1L,2,32.00
ORD-30681,2026-04-01,HL-300,Headlamp 300lm,1,45.00
ORD-30928,2026-04-01,MC-01,Map Case,1,14.00
ORD-30954,2026-04-01,TJ-L-BLU,Trail Jacket L,1,129.00
ORD-30983,2026-04-01,TJ-L-BLU,Trail Jacket L,1,129.00
ORD-31085,2026-04-01,MC-01,Map Case,1,14.00
ORD-31125,2026-04-01,WB-1L,Water Bottle 1L,1,32.00
ORD-31163,2026-04-01,MC-01,Map Case,2,14.00
ORD-31167,2026-04-01,TP-PR,Trekking Pole pair,1,79.00
ORD-31189,2026-04-01,MC-01,Map Case,1,14.00
ORD-30591,2026-04-02,TJ-L-BLU,Trail Jacket L,1,129.00
ORD-30620,2026-04-02,DB-20,Dry Bag 20L,1,29.00
ORD-30803,2026-04-02,DB-20,Dry Bag 20L,1,29.00
ORD-30834,2026-04-02,MC-01,Map Case,2,14.00
ORD-30892,2026-04-02,HL-300,Headlamp 300lm,2,45.00
ORD-30908,2026-04-02,TJ-M-BLU,Trail Jacket M,2,129.00
ORD-30945,2026-04-02,HL-300,Headlamp 300lm,1,45.00
ORD-30503,2026-04-03,WB-1L,Water Bottle 1L,1,32.00
ORD-30561,2026-04-03,TJ-M-BLU,Trail Jacket M,1,129.00
ORD-30631,2026-04-03,TJ-M-BLU,Trail Jacket M,2,129.00
ORD-30727,2026-04-03,TJ-L-BLU,Trail Jacket L,1,129.00
ORD-30858,2026-04-03,CS-01,Camp Stove,2,89.00
ORD-30861,2026-04-03,DB-20,Dry Bag 20L,2,29.00
ORD-31002,2026-04-03,WS-3PK,Wool Sock 3pk,1,24.00
ORD-31027,2026-04-03,TJ-M-BLU,Trail Jacket M,3,129.00
ORD-31044,2026-04-03,DB-20,Dry Bag 20L,1,29.00
ORD-31100,2026-04-03,WS-3PK,Wool Sock 3pk,1,24.00
ORD-30662,2026-04-04,MC-01,Map Case,2,14.00
ORD-30686,2026-04-04,WB-1L,Water Bottle 1L,1,32.00
ORD-30845,2026-04-04,MC-01,Map Case,2,14.00
ORD-30951,2026-04-04,TP-PR,Trekking Pole pair,1,79.00
ORD-30957,2026-04-04,CS-01,Camp Stove,1,89.00
ORD-31032,2026-04-04,TP-PR,Trekking Pole pair,1,79.00
ORD-31067,2026-04-04,TP-PR,Trekking Pole pair,2,79.00
ORD-31097,2026-04-04,WS-3PK,Wool Sock 3pk,2,24.00
ORD-30585,2026-04-05,HL-300,Headlamp 300lm,1,45.00
ORD-30640,2026-04-05,DB-20,Dry Bag 20L,1,29.00
ORD-30648,2026-04-05,WS-3PK,Wool Sock 3pk,2,24.00
ORD-30773,2026-04-05,WB-1L,Water Bottle 1L,2,32.00
ORD-30894,2026-04-05,MC-01,Map Case,2,14.00
ORD-30896,2026-04-05,DB-20,Dry Bag 20L,1,29.00
ORD-30948,2026-04-05,DB-20,Dry Bag 20L,1,29.00
ORD-31029,2026-04-05,TJ-M-BLU,Trail Jacket M,3,129.00
ORD-31120,2026-04-05,TP-PR,Trekking Pole pair,2,79.00
ORD-30526,2026-04-06,MC-01,Map Case,1,14.00
ORD-30564,2026-04-06,DB-20,Dry Bag 20L,2,29.00
ORD-30618,2026-04-06,TJ-L-BLU,Trail Jacket L,1,129.00
ORD-30661,2026-04-06,DB-20,Dry Bag 20L,1,29.00
ORD-30785,2026-04-06,TJ-M-BLU,Trail Jacket M,1,129.00
ORD-30795,2026-04-06,WB-1L,Water Bottle 1L,1,32.00
ORD-30863,2026-04-06,TJ-M-BLU,Trail Jacket M,1,129.00
ORD-30873,2026-04-06,TJ-L-BLU,Trail Jacket L,1,129.00
ORD-30956,2026-04-06,CS-01,Camp Stove,3,89.00
ORD-30825,2026-04-07,TJ-L-BLU,Trail Jacket L,1,129.00
ORD-31048,2026-04-07,WS-3PK,Wool Sock 3pk,2,24.00
ORD-31102,2026-04-07,TP-PR,Trekking Pole pair,3,79.00
ORD-31203,2026-04-07,CS-01,Camp Stove,3,89.00
ORD-30495,2026-04-08,TJ-L-BLU,Trail Jacket L,3,129.00
ORD-30505,2026-04-08,TJ-M-BLU,Trail Jacket M,2,129.00
ORD-30516,2026-04-08,WS-3PK,Wool Sock 3pk,3,24.00
ORD-30652,2026-04-08,DB-20,Dry Bag 20L,2,29.00
ORD-30775,2026-04-08,WS-3PK,Wool Sock 3pk,1,24.00
ORD-30862,2026-04-08,TJ-M-BLU,Trail Jacket M,1,129.00
ORD-30865,2026-04-08,CS-01,Camp Stove,2,89.00
ORD-31118,2026-04-08,WS-3PK,Wool Sock 3pk,2,24.00
ORD-30481,2026-04-09,TJ-L-BLU,Trail Jacket L,2,129.00
ORD-30598,2026-04-09,TJ-M-BLU,Trail Jacket M,2,129.00
ORD-30634,2026-04-09,DB-20,Dry Bag 20L,3,29.00
ORD-30788,2026-04-09,TP-PR,Trekking Pole pair,2,79.00
ORD-30919,2026-04-09,WS-3PK,Wool Sock 3pk,2,24.00
ORD-31000,2026-04-09,CS-01,Camp Stove,1,89.00
ORD-31042,2026-04-09,HL-300,Headlamp 300lm,1,45.00
ORD-31112,2026-04-09,TJ-L-BLU,Trail Jacket L,1,129.00
ORD-30508,2026-04-10,HL-300,Headlamp 300lm,1,45.00
ORD-30579,2026-04-10,HL-300,Headlamp 300lm,1,45.00
ORD-30698,2026-04-10,TJ-L-BLU,Trail Jacket L,1,129.00
ORD-30994,2026-04-10,TP-PR,Trekking Pole pair,1,79.00
ORD-31096,2026-04-10,MC-01,Map Case,1,14.00
ORD-30483,2026-04-11,MC-01,Map Case,2,14.00
ORD-30525,2026-04-11,CS-01,Camp Stove,2,89.00
ORD-30589,2026-04-11,WB-1L,Water Bottle 1L,2,32.00
ORD-30595,2026-04-11,CS-01,Camp Stove,1,89.00
ORD-30617,2026-04-11,MC-01,Map Case,3,14.00
ORD-30690,2026-04-11,TJ-L-BLU,Trail Jacket L,2,129.00
ORD-30733,2026-04-11,TJ-M-BLU,Trail Jacket M,1,129.00
ORD-30756,2026-04-11,TP-PR,Trekking Pole pair,1,79.00
ORD-30774,2026-04-11,WS-3PK,Wool Sock 3pk,1,24.00
ORD-30792,2026-04-11,CS-01,Camp Stove,1,89.00
ORD-30796,2026-04-11,WB-1L,Water Bottle 1L,3,32.00
ORD-30807,2026-04-11,WB-1L,Water Bottle 1L,1,32.00
ORD-30881,2026-04-11,TP-PR,Trekking Pole pair,3,79.00
ORD-30953,2026-04-11,CS-01,Camp Stove,1,89.00
ORD-30982,2026-04-11,MC-01,Map Case,1,14.00
ORD-31006,2026-04-11,TJ-M-BLU,Trail Jacket M,2,129.00
ORD-31009,2026-04-11,CS-01,Camp Stove,1,89.00
ORD-31089,2026-04-11,TJ-M-BLU,Trail Jacket M,1,129.00
ORD-30469,2026-04-12,TJ-L-BLU,Trail Jacket L,1,129.00
ORD-30501,2026-04-12,CS-01,Camp Stove,3,89.00
ORD-30625,2026-04-12,MC-01,Map Case,3,14.00
ORD-30664,2026-04-12,MC-01,Map Case,2,14.00
ORD-30708,2026-04-12,WS-3PK,Wool Sock 3pk,3,24.00
ORD-30777,2026-04-12,MC-01,Map Case,3,14.00
ORD-30887,2026-04-12,CS-01,Camp Stove,1,89.00
ORD-31103,2026-04-12,TP-PR,Trekking Pole pair,1,79.00
ORD-31114,2026-04-12,HL-300,Headlamp 300lm,1,45.00
ORD-31129,2026-04-12,TJ-L-BLU,Trail Jacket L,1,129.00
ORD-31155,2026-04-12,HL-300,Headlamp 300lm,1,45.00
ORD-31196,2026-04-12,WB-1L,Water Bottle 1L,1,32.00
