order_id,rate_fraction,graded
LLK-30412,0.088450,no
LLK-30413,0.082500,yes
LLK-30414,0.103000,yes
LLK-30415,0.103500,no
LLK-30416,0.082500,no
LLK-30417,0,yes
LLK-30418,0.049000,yes
LLK-30419,0.082500,yes
LLK-30420,0.088450,yes
LLK-30421,0.082000,yes
LLK-30422,0.082500,no
LLK-30423,0.049000,yes
LLK-30424,0,yes
LLK-30425,0.087000,yes
LLK-30426,0.067500,yes
LLK-30427,0.060625,yes
LLK-30428,0.060625,yes
LLK-30429,0.103000,yes
LLK-30430,0.088450,no
LLK-30431,0.086000,no
LLK-30432,0.088450,yes
LLK-30433,0.081875,yes
LLK-30434,0,yes
LLK-30435,0,yes
LLK-30436,0.088450,yes
LLK-30437,0.082000,yes
LLK-30438,0,yes
LLK-30439,0.087000,yes
LLK-30440,0,yes
LLK-30441,0.088450,yes
LLK-30442,0.082500,yes
LLK-30443,0,yes
LLK-30444,0.082500,no
LLK-30445,0.060625,yes
LLK-30446,0.067500,yes
LLK-30447,0.088100,yes
LLK-30448,0,yes
LLK-30449,0.049000,yes
LLK-30450,0.088100,yes
LLK-30451,0.078125,no
LLK-30452,0.088450,yes
LLK-30453,0,yes
LLK-30454,0.061000,yes
LLK-30455,0,yes
LLK-30456,0.082000,yes
LLK-30457,0.088450,yes
LLK-30458,0.060625,yes
LLK-30459,0.088450,yes
LLK-30460,0.086000,yes
LLK-30461,0.103000,yes
LLK-30462,0.049000,yes
LLK-30463,0,yes
LLK-30464,0.067500,yes
LLK-30465,0.078125,yes
LLK-30466,0.082000,yes
LLK-30467,0,yes
LLK-30468,0.088450,yes
LLK-30469,0.103000,yes
LLK-30470,0.049000,yes
LLK-30471,0.061000,yes
LLK-30472,0,yes
LLK-30473,0,yes
LLK-30474,0.061000,yes
LLK-30475,0.049000,yes
LLK-30476,0.082000,yes
LLK-30477,0.088450,no
LLK-30478,0.086000,yes
LLK-30479,0.087000,yes
LLK-30480,0.082500,yes
LLK-30481,0.082500,yes
LLK-30482,0,yes
LLK-30483,0.067500,yes
LLK-30484,0.086000,yes
LLK-30485,0.067500,yes
LLK-30486,0.103500,no
LLK-30487,0.049000,yes
LLK-30488,0.049000,yes
LLK-30489,0,yes
LLK-30490,0.060625,yes
LLK-30491,0.078125,yes
LLK-30492,0.078125,no
LLK-30493,0.103500,no
LLK-30494,0.088450,yes
LLK-30495,0,yes
LLK-30496,0.081875,yes
LLK-30497,0,yes
LLK-30498,0.082000,yes
LLK-30499,0.103000,yes
LLK-30500,0.087000,yes
LLK-30501,0.049000,yes
LLK-30502,0,yes
LLK-30503,0.087000,yes
