order_id,state,zip,rate,tax
LLK-30412,CO,80303,8.845%,0.00
LLK-30413,TX,78704,8.25%,36.65
LLK-30414,WA,98499,10.30%,46.57
LLK-30415,WA,98109,10.35%,0.00
LLK-30416,TX,78704,8.25%,0.00
LLK-30417,CA,95814,0%,0.00
LLK-30418,CO,80521,4.90%,28.08
LLK-30419,TX,78704,8.25%,34.37
LLK-30420,CO,80310,8.845%,43.38
LLK-30421,CO,80918,8.20%,5.99
LLK-30422,TX,78704,8.25%,0.00
LLK-30423,CO,81301,4.90%,25.68
LLK-30424,CA,95814,0%,0.00
LLK-30425,AZ,85719,8.70%,41.87
LLK-30426,TX,78205,6.75%,33.41
LLK-30427,NM,87571,6.0625%,23.84
LLK-30428,NM,88001,6.0625%,20.15
LLK-30429,WA,98405,10.30%,53.10
LLK-30430,CO,80303,8.845%,0.00
LLK-30431,AZ,85016,8.60%,0.00
LLK-30432,CO,80310,8.845%,40.85
LLK-30433,NM,87505,8.1875%,41.47
LLK-30434,NE,68102,0%,0.00
LLK-30435,NE,68102,0%,0.00
LLK-30436,CO,80302,8.845%,38.96
LLK-30437,CO,80918,8.20%,29.59
LLK-30438,OR,97209,0%,0.00
LLK-30439,WA,98225,8.70%,45.09
LLK-30440,ID,83702,0%,0.00
LLK-30441,CO,80302,8.845%,20.89
LLK-30442,TX,78745,8.25%,15.23
LLK-30443,UT,84101,0%,0.00
LLK-30444,TX,78704,8.25%,0.00
LLK-30445,NM,87571,6.0625%,39.84
LLK-30446,TX,77002,6.75%,41.14
LLK-30447,CO,80205,8.81%,28.78
LLK-30448,ID,83702,0%,0.00
LLK-30449,CO,80521,4.90%,2.06
LLK-30450,CO,80205,8.81%,29.97
LLK-30451,NM,87102,7.8125%,0.00
LLK-30452,CO,80302,8.845%,42.78
LLK-30453,UT,84101,0%,0.00
LLK-30454,AZ,85201,6.10%,35.07
LLK-30455,ID,83702,0%,0.00
LLK-30456,CO,80951,8.20%,39.53
LLK-30457,CO,80302,8.845%,43.28
LLK-30458,NM,88001,6.0625%,9.13
LLK-30459,CO,80302,8.845%,44.70
LLK-30460,AZ,85016,8.60%,22.58
LLK-30461,WA,98499,10.30%,40.68
LLK-30462,CO,80521,4.90%,23.25
LLK-30463,CA,95814,0%,0.00
LLK-30464,TX,78205,6.75%,24.91
LLK-30465,NM,87110,7.8125%,45.83
LLK-30466,CO,80951,8.20%,50.98
LLK-30467,UT,84101,0%,0.00
LLK-30468,CO,80310,8.845%,52.65
LLK-30469,WA,98405,10.30%,55.32
LLK-30470,CO,80501,4.90%,21.96
LLK-30471,AZ,86001,6.10%,37.30
LLK-30472,OR,97209,0%,0.00
LLK-30473,OR,97401,0%,0.00
LLK-30474,AZ,85281,6.10%,8.48
LLK-30475,CO,80501,4.90%,22.23
LLK-30476,CO,80951,8.20%,38.95
LLK-30477,CO,80303,8.845%,0.00
LLK-30478,AZ,85016,8.60%,22.58
LLK-30479,AZ,85719,8.70%,37.82
LLK-30480,TX,78704,8.25%,11.35
LLK-30481,TX,78704,8.25%,32.33
LLK-30482,CA,95814,0%,0.00
LLK-30483,TX,78205,6.75%,41.32
LLK-30484,AZ,85016,8.60%,44.61
LLK-30485,TX,77002,6.75%,24.76
LLK-30486,WA,98109,10.35%,0.00
LLK-30487,CO,81301,4.90%,28.01
LLK-30488,CO,81301,4.90%,8.15
LLK-30489,NE,68102,0%,0.00
LLK-30490,NM,87571,6.0625%,23.03
LLK-30491,NM,87110,7.8125%,21.38
LLK-30492,NM,87102,7.8125%,0.00
LLK-30493,WA,98109,10.35%,0.00
LLK-30494,CO,80302,8.845%,14.78
LLK-30495,UT,84101,0%,0.00
LLK-30496,NM,87505,8.1875%,7.94
LLK-30497,ID,83702,0%,0.00
LLK-30498,CO,80951,8.20%,50.28
LLK-30499,WA,98405,10.30%,59.06
LLK-30500,WA,98501,8.70%,39.45
LLK-30501,CO,80501,4.90%,12.67
LLK-30502,NE,68102,0%,0.00
LLK-30503,WA,98501,8.70%,24.21
