Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Variant Weight Unit,Status
mens-ridgeline-jacket,Men's Ridgeline Rain Jacket,,Granite Peak,,Jackets,,TRUE,Color,Blue,Size,S,GP1001-BLU-S,499,shopify,29,deny,manual,129.00,,TRUE,TRUE,615042224217,g,active
mens-ridgeline-jacket,,,,,,,,,Blue,,M,GP1001-BLU-M,499,shopify,19,deny,manual,129.00,,TRUE,TRUE,693618120170,g,
mens-ridgeline-jacket,,,,,,,,,Blue,,L,GP1001-BLU-L,517,shopify,26,deny,manual,129.00,,TRUE,TRUE,075211962201,g,
mens-ridgeline-jacket,,,,,,,,,Blue,,XL,GP1001-BLU-XL,517,shopify,26,deny,manual,129.00,,TRUE,TRUE,816735176152,g,
mens-ridgeline-jacket,,,,,,,,,Blue,,2XL,GP1001-BLU-2XL,517,shopify,32,deny,manual,134.00,,TRUE,TRUE,621266569508,g,
mens-ridgeline-jacket,,,,,,,,,Black,,S,GP1001-BLK-S,499,shopify,27,deny,manual,129.00,,TRUE,TRUE,809225940036,g,
mens-ridgeline-jacket,,,,,,,,,Black,,M,GP1001-BLK-M,499,shopify,8,deny,manual,129.00,,TRUE,TRUE,899808316372,g,
mens-ridgeline-jacket,,,,,,,,,Black,,L,GP1001-BLK-L,517,shopify,4,deny,manual,129.00,,TRUE,TRUE,724732103357,g,
mens-ridgeline-jacket,,,,,,,,,Black,,XL,GP1001-BLK-XL,517,shopify,23,deny,manual,129.00,,TRUE,TRUE,047652560636,g,
womens-ridgeline-rain-jacket,Women's Ridgeline Rain Jacket,,Granite Peak,,Jackets,,TRUE,Color,Teal,Size,XS,GP1002-TEA-XS,431,shopify,12,deny,manual,129.00,,TRUE,TRUE,752993165524,g,active
womens-ridgeline-rain-jacket,,,,,,,,,Teal,,S,GP1002-TEA-S,431,shopify,3,deny,manual,129.00,,TRUE,TRUE,801018998644,g,
womens-ridgeline-rain-jacket,,,,,,,,,Teal,,M,GP1002-TEA-M,431,shopify,0,deny,manual,129.00,,TRUE,TRUE,793140161136,g,
womens-ridgeline-rain-jacket,,,,,,,,,Teal,,L,GP1002-TEA-L,449,shopify,1,deny,manual,129.00,,TRUE,TRUE,855790297006,g,
womens-ridgeline-rain-jacket,,,,,,,,,Plum,,XS,GP1002-PLM-XS,431,shopify,8,deny,manual,129.00,,TRUE,TRUE,036861136237,g,
womens-ridgeline-rain-jacket,,,,,,,,,Plum,,S,GP1002-PLM-S,431,shopify,8,deny,manual,129.00,,TRUE,TRUE,752941172390,g,
womens-ridgeline-rain-jacket,,,,,,,,,Plum,,M,GP1002-PLM-M,431,shopify,29,deny,manual,129.00,,TRUE,TRUE,073225323865,g,
womens-ridgeline-rain-jacket,,,,,,,,,Plum,,L,GP1002-PLM-L,449,shopify,26,deny,manual,129.00,,TRUE,TRUE,716129833282,g,
