Zephyr Bike Works - Inventory by location
As of 09/12/2026 close
SKU,Description,Location,On Hand,Retail,Last Sold
BP-MAGURAMT-OEM,Brake pad Magura MT resin OEM,Main,15,$31.99,04/30/2026
BP-MAGURAMT-OEM,Brake pad Magura MT resin OEM,Warehouse,35,$31.99,08/14/2026
BP-SHIMANOB01-OEM,Brake pad Shimano B01S resin OEM,Main,13,$13.99,05/28/2026
BP-SRAMLEVEL-OEM,Brake pad SRAM Level resin OEM,Main,9,$23.99,08/12/2026
BP-SRAMLEVEL-OEM,Brake pad SRAM Level resin OEM,Warehouse,10,$23.99,08/29/2026
BP-TEKTROHD,Brake pad Tektro HD resin,Main,14,$13.99,07/23/2026
BP-TEKTROHD,Brake pad Tektro HD resin,Warehouse,23,$13.99,05/04/2026
BP-TEKTROHD-OEM,Brake pad Tektro HD resin OEM,Main,8,$11.99,04/30/2026
BP-TEKTROHD-OEM,Brake pad Tektro HD resin OEM,Warehouse,30,$11.99,05/15/2026
BT-CORKBLACK,Bar tape cork black,Main,2,$24.99,08/11/2026
BT-CORKBLACK,Bar tape cork black,Warehouse,36,$24.99,06/04/2026
BT-CORKBLACK-J,Bar tape cork black (J&B code),Main,3,$21.99,02/22/2026
BT-CORKBLACK-J,Bar tape cork black (J&B code),Warehouse,11,$21.99,02/21/2026
BT-SUPACAZBLA-J,Bar tape Supacaz black (J&B code),Main,13,$21.99,07/29/2026
CB-MTBSTAINLE,Cable brake MTB stainless,Main,1,$22.99,05/16/2026
CB-MTBSTAINLE,Cable brake MTB stainless,Warehouse,18,$22.99,05/06/2026
CB-ROADSTAINL,Cable brake road stainless,Main,2,$16.99,06/15/2026
CB-ROADSTAINL-SHOP,Cable brake road stainless (shop box),Main,17,$18.99,06/11/2026
CB-ROADSTAINL-SHOP,Cable brake road stainless (shop box),Warehouse,26,$18.99,07/27/2026
CH-10-OEM,Chain 10sp OEM,Main,3,$64.99,02/21/2026
CH-10-OEM,Chain 10sp OEM,Warehouse,27,$64.99,01/29/2026
CH-10-Q,Chain 10sp (QBP code),Main,3,$72.99,04/29/2026
CH-10-Q,Chain 10sp (QBP code),Warehouse,15,$72.99,03/23/2026
CH-11-OEM,Chain 11sp OEM,Main,7,$49.99,02/10/2026
CH-11-OEM,Chain 11sp OEM,Warehouse,22,$49.99,01/28/2026
CH-11-Q,Chain 11sp (QBP code),Main,14,$52.99,05/22/2026
CH-11-RTL,Chain 11sp retail box,Main,18,$47.99,07/31/2026
CH-12-Q,Chain 12sp (QBP code),Main,12,$69.99,08/20/2026
CH-12-Q,Chain 12sp (QBP code),Warehouse,21,$69.99,07/01/2026
CH-12-RTL,Chain 12sp retail box,Main,14,$58.99,06/16/2026
CH-12-RTL,Chain 12sp retail box,Warehouse,18,$58.99,01/15/2026
CH-9-OEM,Chain 9sp OEM,Main,16,$52.99,06/06/2026
CH-9-OEM,Chain 9sp OEM,Warehouse,10,$52.99,04/16/2026
CT-275X26REKO-MY25,Tire 27.5x2.6 Rekon fold 2025,Main,12,$50.99,09/08/2026
CT-275X26REKO-MY26,Tire 27.5x2.6 Rekon fold 2026,Main,5,$54.99,04/30/2026
CT-275X26REKO-MY26,Tire 27.5x2.6 Rekon fold 2026,Warehouse,3,$54.99,06/21/2026
CT-29X24MINIO-MY25,Tire 29x2.4 Minion fold 2025,Main,13,$43.99,07/13/2026
CT-700X28GATO-MY26,Tire 700x28 Gatorskin fold 2026,Main,14,$37.99,06/11/2026
CT-700X28GATO-MY26,Tire 700x28 Gatorskin fold 2026,Warehouse,1,$37.99,06/20/2026
CT-700X32MARA-MY26,Tire 700x32 Marathon fold 2026,Main,15,$71.99,02/14/2026
CT-700X32MARA-MY26,Tire 700x32 Marathon fold 2026,Warehouse,16,$71.99,06/13/2026
GR-ERGONGE1,Grips Ergon GE1,Main,10,$35.99,01/08/2026
GR-ERGONGE1-J,Grips Ergon GE1 (J&B code),Main,15,$37.99,08/05/2026
GR-ERGONGE1-J,Grips Ergon GE1 (J&B code),Warehouse,35,$37.99,05/20/2026
GR-ODIRUFFIAN-Q,Grips ODI Ruffian (QBP code),Main,2,$39.99,01/21/2026
LK-MINI7IN,U-Lock mini 7in,Main,12,$49.99,01/20/2026
LK-STANDARD9I,U-Lock standard 9in,Main,7,$81.99,01/14/2026
LK-STANDARD9I,U-Lock standard 9in,Warehouse,12,$81.99,02/22/2026
LT-FRONT1500L,Light front 1500lm,Main,0,$71.99,08/18/2026
LT-FRONT1500L,Light front 1500lm,Warehouse,33,$71.99,03/07/2026
LT-REAR100LM,Light rear 100lm,Main,12,$89.99,06/07/2026
LU-DRY4OZ,Lube dry 4oz,Main,14,$10.99,01/12/2026
LU-WAX4OZ,Lube wax 4oz,Main,3,$16.99,07/23/2026
LU-WAX4OZ,Lube wax 4oz,Warehouse,35,$16.99,05/03/2026
LU-WAX4OZ-Q,Lube wax 4oz (QBP code),Main,18,$14.99,03/29/2026
