Old SKU,Old Description,New SKU,New Description
BP-TEKTROHD,BRAKE PAD TEKTRO HD RESIN,BP1522,Disc brake pads Tektro HD resin
BP-TEKTROHD-OEM,BRAKE PAD TEKTRO HD RESIN OEM,BP1524,Disc brake pads Tektro HD resin
BP-SHIMANOB01-OEM,BRAKE PAD SHIMANO B01S RESIN OEM,BP2739,Disc brake pads Shimano B01S resin
BP-SRAMLEVEL-OEM,BRAKE PAD SRAM LEVEL RESIN OEM,BP2741,Disc brake pads SRAM Level resin
BP-MAGURAMT-OEM,BRAKE PAD MAGURA MT RESIN OEM,BP4448,Disc brake pads Magura MT resin
BT-SUPACAZBLA-J,BAR TAPE SUPACAZ BLACK (J&B CODE),BT3157,Bar tape Supacaz black
BT-CORKBLACK,BAR TAPE CORK BLACK,BT5245,Bar tape cork black
BT-CORKBLACK-J,BAR TAPE CORK BLACK (J&B CODE),BT5245,Bar tape cork black
BT-LIZARDSKIN,BAR TAPE LIZARD SKINS 2.5 BLACK,BT9327,Bar tape Lizard Skins 2.5 black
CB-ROADSTAINL-SHOP,CABLE BRAKE ROAD STAINLESS (SHOP BOX),CB4442,Brake cable road stainless
CB-ROADSTAINL,CABLE BRAKE ROAD STAINLESS,CB4444,Brake cable road stainless
CB-MTBSTAINLE,CABLE BRAKE MTB STAINLESS,CB7848,Brake cable MTB stainless
CH-12-Q,CHAIN 12SP (QBP CODE),CH2234,Chain 12-speed 116L
CH-12-RTL,CHAIN 12SP RETAIL BOX,CH2234,Chain 12-speed 116L
CH-10-OEM,CHAIN 10SP OEM,CH3720,Chain 10-speed 116L
CH-10-Q,CHAIN 10SP (QBP CODE),CH3720,Chain 10-speed 116L
CH-10-RTL,CHAIN 10SP RETAIL BOX,CH3720,Chain 10-speed 116L
CH-9-OEM,CHAIN 9SP OEM,CH8480,Chain 9-speed 116L
CH-11-Q,CHAIN 11SP (QBP CODE),CH9482,Chain 11-speed 116L
CH-11-OEM,CHAIN 11SP OEM,CH9482,Chain 11-speed 116L
CH-11-RTL,CHAIN 11SP RETAIL BOX,CH9482,Chain 11-speed 116L
CO-25G-BOX,"CO2 25G THR (BOX OF 20, SOLD EACH)",CO6895,CO2 cartridge 25g threaded
CO-25G,CO2 25G THR,CO6895,CO2 cartridge 25g threaded
CO-16G,CO2 16G THR,CO8285,CO2 cartridge 16g threaded
CT-700X28GATO-MY26,TIRE 700X28 GATORSKIN FOLD 2026,CT2105,Tire 700x28 Gatorskin folding
CT-275X26REKO-MY25,TIRE 27.5X2.6 REKON FOLD 2025,CT2853,Tire 27.5x2.6 Rekon folding
CT-275X26REKO-MY26,TIRE 27.5X2.6 REKON FOLD 2026,CT2853,Tire 27.5x2.6 Rekon folding
CT-700X32MARA-MY26,TIRE 700X32 MARATHON FOLD 2026,CT3574,Tire 700x32 Marathon folding
CT-29X24MINIO-MY25,TIRE 29X2.4 MINION FOLD 2025,CT5060,Tire 29x2.4 Minion folding
GR-ERGONGE1-J,GRIPS ERGON GE1 (J&B CODE),GR1749,Lock-on grips Ergon GE1
GR-ERGONGE1,GRIPS ERGON GE1,GR1749,Lock-on grips Ergon GE1
GR-ESICHUNKY-Q,GRIPS ESI CHUNKY (QBP CODE),GR3089,Lock-on grips ESI Chunky
