item_code,item_desc,price,tax_class,dept
BN0500,Beanie - Rust,2800,TAXABLE,ACC
CL0120,Camp Lantern,3900,TAXABLE,CAMP
CM2100,Camp Moc,7400,TAXABLE,FTW
CS0100,Camp Stove,8900,TAXABLE,CAMP
DB0020,Dry Bag 20L,2900,TAXABLE,HIKE
DV3150,Down Vest - Black,15900,TAXABLE,OUT
FL1000,Fleece Pullover - Grey,6900,TAXABLE,BASE
GS0400,Gaiter Short,3400,TAXABLE,HIKE
HL0300,Headlamp 300lm,4500,TAXABLE,ACC
MC1200,Merino Crew - Charcoal,9900,TAXABLE,BASE
ML1210,Merino Leggings - Black,8400,TAXABLE,BASE
MP0001,Map Case,2400,TAXABLE,HIKE
RB2200,Ridge Hiking Boot,19900,TAXABLE,FTW
RS2090,Rain Shell - Ember,17900,TAXABLE,OUT
TJ3300,Trail Jacket - Navy (2024),11900,TAXABLE,OUT
TJ4410,Trail Jacket - Slate,12400,TAXABLE,OUT
TJ4411,Trail Jacket - Moss,12400,TAXABLE,OUT
TK0200,Trekking Pole Pair,8900,TAXABLE,HIKE
TP0900,Titanium Pot 900ml,5400,TAXABLE,CAMP
WB0010,Water Bottle 1L,2700,TAXABLE,CAMP
WS0300,Wool Sock 3pk,1900,TAXABLE,BASE
