sku,description,length_in,width_in,weight_lb,pack_qty,price_each
NW-4410-300,"Full-extension drawer slide, soft close, 300 mm",11.8125,1.75,1.367,10,11.855
NW-4410-350,"Full-extension drawer slide, soft close, 350 mm",13.75,1.75,1.717,10,13.697
NW-4410-400,"Full-extension drawer slide, soft close, 400 mm",15.75,1.75,2.075,10,15.486
NW-4410-500,"Full-extension drawer slide, soft close, 500 mm",19.6875,1.75,2.829,10,19.864
NW-4410-550,"Full-extension drawer slide, soft close, 550 mm",21.625,1.75,3.188,10,21.246
NW-2210-01,"Concealed hinge 110 deg, clip-on, overlay",4.4375,1.375,0.205,50,2.265
NW-2230-01,"Hinge mounting plate, 0 mm",2.0625,1.4375,0.037,100,0.391
NW-6105-01,"Shelf support pin 5 mm, nickel",0.625,0.1875,0.004,500,0.024
NW-7120-200,"Bar pull, brushed steel, CC 160 mm",7.875,0.5,0.300,1,6.590
NW-7120-232,"Bar pull, brushed steel, CC 192 mm",9.125,0.5,0.412,1,9.450
NW-7120-360,"Bar pull, brushed steel, CC 320 mm",14.1875,0.5,0.520,1,11.480
NW-8008-8,Beech dowel rod 8 mm,39.375,0.3125,0.106,25,0.779
NW-8008-10,Beech dowel rod 10 mm,39.375,0.375,0.172,25,1.227
NW-8008-12,Beech dowel rod 12 mm,39.375,0.5,0.240,25,1.744
NW-5710-01,"Steel table leg, square",27.9375,2.375,7.412,4,35.435
NW-3430-01,"Chipboard screw 4.0 x 30, zinc",1.1875,0.1875,0.004,500,0.030
NW-3550-01,"Chipboard screw 5.0 x 50, zinc",1.9375,0.1875,0.011,200,0.048
NW-5025-01,"Leg leveler M8, 30 mm base",1,1.1875,0.051,20,1.145
NW-4250-01,"Lid stay, soft down",9.8125,1.5,0.324,1,16.190
NW-9119-800,Aluminium T-track,31.5,0.75,0.529,1,16.110
NW-9119-1200,Aluminium T-track,47.25,0.75,0.814,1,26.990
