Vendor master export
Run date 09/02/2026
VendorID,Vendor Name,Terms,Phone,Email
75773,Dorsey Freight Inc,Net 15,7205557351,mendoza.linda@dorseyfreight.com
20407,SALTMARSH KAYAKS,Net 45,+1 206 555 9072,cperez@saltmarshkayaks.com
19729,Zephyr Bike Works LLC,Due on receipt,415-555-8351,jcox@zephyrbikes.com
22455,Kingfisher  Charters LLC,Net 15,+1 (919) 555-6011,lauralopez11@kingfishercharters.com
75868,Redwood Property Mgmt Inc.,Net 30,8025557812,ALLEN.SHIRLEY@REDWOODPM.COM
77936,Thistle & Thread Alterations LLC,Net 15,(512) 555-3480,garyramos81@thistlethread.com
13306,NORTHFIELD AUTO BODY CO.,Net 60,(617) 555-1845,HIROSHI_SCOTT@NORTHFIELDAUTO.COM
81465,Tamarack  Brewing,Net 15,+1 415 555 1339,dnguyen@tamarackbrewing.com
76701,COPPERFIELD LAW,Net 15,,priya_ramos@copperfieldlaw.com
46660,Juniper Street Cafe Inc,Net 30,608.555.4976,abrooks@juniperstreet.cafe
02489,Ellington Bakeries,Net 15,+1 802 555 4609,ascott@ellingtonbakes.com
45229,Westbrook Plumbing Inc,Net 60,512-555-9693,ortiz.marcus@westbrookplumbing.com
39213,LARKSPUR YOGA CO.,Net 15,303-555-5001,harris.yuki@larkspuryoga.com
77551,Hollowell Electric,Net 60,415-555-1391,DLOPEZ@HOLLOWELLELECTRIC.COM
94711,Riverbend Physio Inc.,Net 30,7205553044,cynthia.garcia@riverbendphysio.com
87317,SILVERLINE LOGISTICS CO.,Net 15,919-555-7161,LEWIS.LEILA@SILVERLINELOGISTICS.COM
90042,Ivy  Lane Florist,Net 45,617.555.9348,alvarez.donna@ivylaneflorist.com
26351,"Ironwood Fabrication, LLC",Net 30,(617) 555-5360,mlewis@ironwoodfab.com
50076,Glassworks Optical Inc.  ,Due on receipt,415.555.3453,luisharris90@glassworksoptical.com
76993,Fernbrook Montessori LLC,Net 60,+1 (802) 555-8591,karen.bailey@fernbrookmontessori.org
89163,Orchard Hill Dental,Net 60,+1 608 555 7645,evans.nadia@orchardhilldental.com
77658,Quarry Road Nursery Co.,Net 45,971.555.3273,CALVAREZ@QUARRYROAD.COM
85590,Cedar & Pine Landscaping Inc.,Net 15,+1 (206) 555-7267,priya_johnson@cedarpine.co
82417,"Copperfield Law, LLC",Net 15,,PRIYA_RAMOS@COPPERFIELDLAW.COM
25609,ELLINGTON BAKERIES,Net 15,,ascott@ellingtonbakes.com
55082,QUILL & INK PRINT SHOP INC.,Net 30,+1 (617) 555-5462,MARKMARTINEZ83@QUILLANDINK.PRINT
