Juniper Hollow Inn
Vendor Transactions: January 1 - August 31, 2026
Type,Num,Date,Vendor,Memo,Amount,Status
Bill,B-2600,01/01/2026,Tybee Pest Ctrl,,145.00,Paid
Bill,B-2601,01/02/2026,Live Oak Grounds Care,,387.85,Paid
Bill,B-2602,01/02/2026,Sysco  Savannah,,"1,342.60",Paid
Bill,B-2603,01/03/2026,Coastal Linen Svc,,647.56,Paid
Bill,B-2604,01/03/2026,Southern Coffee Roasting Company,,418.95,Paid
Bill,B-2605,01/04/2026,Savannah Magazine,,862.68,Paid
Bill,B-2606,01/05/2026,Hotel Amenity Group,,990.80,Paid
Bill,B-2607,01/10/2026,COASTAL LINEN SERVICE LLC,,691.71,Paid
Bill,B-2608,01/10/2026,Georgia Power Co,,"1,888.87",Paid
Bill,B-2609,01/12/2026,Live Oak Grounds Care LLC,,427.32,Paid
Bill,B-2610,01/14/2026,LOWCOUNTRY SUPPLY CO.,,393.05,Paid
Bill,B-2611,01/15/2026,Comcast Business,,289.90,Paid
Bill,B-2612,01/16/2026,sysco savannah llc,,708.82,Paid
Bill,B-2613,01/16/2026,"Sysco Savannah, Inc.",,894.27,Paid
Bill,B-2614,01/17/2026,City of Savannah Water,,422.37,Paid
Bill,B-2615,01/17/2026,SYSCO SAVANNAH INC,,834.72,Paid
Bill,B-2616,01/20/2026,Coastal Linen Svc,,618.43,Paid
Bill,B-2617,01/21/2026,SOUTHERN COFFEE ROASTING,,266.16,Paid
Bill,B-2618,01/22/2026,Coastal Linen Service,,687.91,Paid
Bill,B-2619,01/23/2026,FORSYTH FLORALS,,86.26,Paid
Bill,B-2620,01/24/2026,Booking.com,,"3,805.26",Paid
Bill,B-2621,01/24/2026,Forsyth Florals,,200.33,Paid
Bill,B-2622,01/28/2026,Chatham Plumbing & Heating,,241.01,Paid
Bill,B-2623,02/02/2026,Live Oak Grounds Care,,378.32,Paid
Bill,B-2624,02/02/2026,Savannah Magazine,,"1,077.98",Paid
Bill,B-2625,02/04/2026,COASTAL LINEN SERVICE LLC,,782.84,Paid
Bill,B-2626,02/04/2026,FORSYTH FLORALS,,109.83,Paid
Bill,B-2627,02/07/2026,Coastal Linen Svc,,868.75,Paid
Bill,B-2628,02/08/2026,Southern Coffee Roasting Co,,316.44,Paid
Bill,B-2629,02/09/2026,BOOKING.COM BV,,"2,777.08",Paid
Bill,B-2630,02/10/2026,SYSCO SAVANNAH INC,,"1,408.98",Paid
Bill,B-2631,02/16/2026,COASTAL LINEN SERVICE LLC,,706.25,Paid
Bill,B-2632,02/16/2026,GEORGIA POWER COMPANY,,"1,607.54",Paid
Bill,B-2633,02/16/2026,Live Oak Grounds Care,,445.29,Paid
Bill,B-2634,02/17/2026,Coastal Linen Service,,771.35,Paid
Bill,B-2635,02/17/2026,LOWCOUNTRY SUPPLY CO.,,597.76,Paid
Bill,B-2636,02/18/2026,COMCAST BUSINESS COMMUNICATIONS,,289.90,Paid
Bill,B-2637,02/19/2026,Southern Coffee Roasting Company,,311.58,Paid
Bill,B-2638,02/20/2026,Sysco Savannah,,737.93,Paid
Bill,B-2639,02/23/2026,Lowcountry Supply Co,,161.97,Paid
Bill,B-2640,02/23/2026,sysco savannah llc,,"1,395.24",Paid
Bill,B-2641,02/26/2026,CITY OF SAVANNAH WATER & SEWER,,538.02,Paid
Bill,B-2642,02/27/2026,Chatham Plumbing & Heating,,"1,216.45",Paid
Bill,B-2643,02/28/2026,Forsyth Florals,,248.24,Paid
Bill,B-2644,02/28/2026,Tybee Pest Ctrl,,145.00,Paid
Bill,B-2645,03/04/2026,Georgia Power Co,,"1,938.77",Paid
Bill,B-2646,03/04/2026,Lowcountry Supply Co,,559.35,Paid
Bill,B-2647,03/05/2026,FORSYTH FLORALS,,145.28,Paid
Bill,B-2648,03/06/2026,COASTAL LINEN SERVICE LLC,,631.48,Paid
Bill,B-2649,03/08/2026,CITY OF SAVANNAH WATER & SEWER,,529.60,Paid
Bill,B-2650,03/08/2026,Live Oak Grounds Care,,445.16,Paid
Bill,B-2651,03/09/2026,Low Country Supply Company,,536.57,Paid
Bill,B-2652,03/10/2026,FORSYTH FLORALS,,143.63,Paid
Bill,B-2653,03/12/2026,Forsyth Florals,,89.89,Paid
Bill,B-2654,03/14/2026,"Sysco Savannah, Inc.",,"1,090.96",Paid
Bill,B-2655,03/15/2026,COASTAL LINEN SERVICE LLC,,702.75,Paid
Bill,B-2656,03/16/2026,"Sysco Savannah, Inc.",,"1,306.89",Paid
Bill,B-2657,03/17/2026,Coastal Linen Svc,,922.81,Paid
Bill,B-2658,03/17/2026,Live Oak Grounds Care LLC,,324.02,Paid
Credit,VC-2659,03/18/2026,COASTAL LINEN SERVICE LLC,Credit - stained king sheets returned,120.81,Applied
Bill,B-2660,03/18/2026,SYSCO SAVANNAH INC,,781.57,Paid
Bill,B-2661,03/20/2026,Comcast Business,,289.90,Paid
Bill,B-2662,03/20/2026,Lowcountry Supply Co,,216.71,Paid
Bill,B-2663,03/23/2026,CHATHAM PLUMBING,,"1,182.67",Paid
Bill,B-2664,03/23/2026,Hotel Amenity Grp,,770.07,Paid
Bill,B-2665,03/23/2026,Southern Coffee Roasting Co,,344.82,Paid
Bill,B-2666,03/25/2026,Coastal Linen Service,,868.15,Paid
Bill,B-2667,03/27/2026,Booking.com B.V.,,"2,090.30",Paid
Credit,VC-2668,03/28/2026,Booking.com B.V.,Commission refund - cancelled stay,406.64,Applied
Bill,B-2669,03/28/2026,Tybee Pest Control,,145.00,Paid
Bill,B-2670,03/28/2026,Tybee Pest Control,VOID - entered in error,145.00,Voided
Bill,B-2671,04/01/2026,sysco savannah llc,,459.10,Paid
