reference,type,statement_amount,our_amount,difference,status
417695,invoice,163.53,163.53,0.00,matched
417727,invoice,2617.43,2617.43,0.00,matched
417751,invoice,347.72,347.72,0.00,matched
417759,credit,-225.34,-225.34,0.00,matched
417767,invoice,1500.12,0.00,1500.12,paid - check in transit
417780,invoice,693.73,693.72,0.01,amount differs
417799,invoice,1172.80,1172.80,0.00,matched
417810,invoice,2660.12,2660.12,0.00,matched
417816,invoice,3193.63,3193.63,0.00,matched
417838,invoice,1443.47,1443.74,-0.27,amount differs
417855,invoice,974.02,974.02,0.00,matched
417879,invoice,756.15,756.15,0.00,matched
417887,invoice,820.22,820.22,0.00,matched
417890,invoice,1199.98,0.00,1199.98,paid - check in transit
417908,invoice,504.41,0.00,504.41,not in our books
417932,invoice,1081.14,1081.14,0.00,matched
417948,invoice,2158.00,2158.00,0.00,matched
417969,invoice,1764.99,1764.99,0.00,matched
417988,invoice,1954.00,1954.00,0.00,matched
418000,credit,-331.35,0.00,-331.35,not in our books
418023,invoice,0.00,925.12,-925.12,not on statement
