Date,Clicks,Impressions,CTR,Position
2026-03-01,138,3712,3.72%,13.5
2026-03-02,150,4031,3.72%,14.1
2026-03-03,120,2830,4.24%,14.2
2026-03-04,143,4119,3.47%,10.1
2026-03-05,138,2892,4.77%,12.2
2026-03-06,142,2578,5.51%,10.6
2026-03-07,133,3856,3.45%,13.3
2026-03-08,130,3583,3.63%,10.2
2026-03-09,147,2869,5.12%,9.5
2026-03-10,158,3241,4.88%,10.6
2026-03-11,163,4640,3.51%,10.9
2026-03-12,164,4013,4.09%,12.9
2026-03-13,137,4012,3.41%,13.0
2026-03-14,166,4768,3.48%,11.0
2026-03-15,145,2898,5.00%,10.2
2026-03-16,134,2896,4.63%,12.5
2026-03-17,133,3475,3.83%,11.2
2026-03-18,146,4062,3.59%,11.9
2026-03-19,147,3494,4.21%,13.0
2026-03-20,138,4098,3.37%,9.6
2026-03-21,167,4699,3.55%,9.6
2026-03-22,169,3784,4.47%,12.4
2026-03-23,139,2579,5.39%,10.4
2026-03-24,179,3644,4.91%,13.3
2026-03-25,179,5245,3.41%,11.2
2026-03-26,156,3790,4.12%,13.4
2026-03-27,147,3966,3.71%,13.5
2026-03-28,180,3319,5.42%,14.2
2026-03-29,149,3291,4.53%,12.6
2026-03-30,185,4084,4.53%,14.1
2026-03-31,170,3697,4.60%,11.1
2026-04-01,155,2935,5.28%,10.2
2026-04-02,179,5362,3.34%,10.3
2026-04-03,152,4535,3.35%,12.2
2026-04-04,169,3523,4.80%,12.5
2026-04-05,188,4411,4.26%,11.6
2026-04-06,155,4493,3.45%,9.7
2026-04-07,176,4938,3.56%,10.2
2026-04-08,188,5526,3.40%,12.7
2026-04-09,191,3682,5.19%,11.7
2026-04-10,164,4614,3.55%,11.0
2026-04-11,178,5338,3.33%,13.8
2026-04-12,204,4782,4.27%,11.9
2026-04-13,194,4607,4.21%,11.0
2026-04-14,180,3556,5.06%,11.4
2026-04-15,208,6139,3.39%,12.6
2026-04-16,186,4103,4.53%,9.9
2026-04-17,177,4847,3.65%,13.8
2026-04-18,182,4992,3.65%,13.4
2026-04-19,199,5167,3.85%,13.3
2026-04-20,184,4867,3.78%,10.9
2026-04-21,191,5202,3.67%,13.0
2026-04-22,183,5370,3.41%,12.7
2026-04-23,198,3591,5.51%,12.2
2026-04-24,183,4768,3.84%,11.8
2026-04-25,212,5463,3.88%,13.5
2026-04-26,190,4888,3.89%,13.2
2026-04-27,215,4773,4.50%,13.7
2026-04-28,219,5750,3.81%,14.4
2026-04-29,224,5424,4.13%,12.1
2026-04-30,185,5187,3.57%,14.2
2026-05-01,202,5312,3.80%,13.1
2026-05-02,216,4333,4.98%,13.4
2026-05-03,210,5457,3.85%,11.6
2026-05-04,213,5814,3.66%,12.7
2026-05-05,220,4032,5.46%,10.3
2026-05-06,206,5315,3.88%,10.6
2026-05-07,220,5625,3.91%,9.7
2026-05-08,210,4350,4.83%,9.8
2026-05-09,193,4208,4.59%,10.4
2026-05-10,197,3630,5.43%,11.8
2026-05-11,208,5271,3.95%,12.5
2026-05-12,201,5796,3.47%,9.5
2026-05-13,212,4524,4.69%,11.6
2026-05-14,197,5511,3.57%,11.4
2026-05-15,193,4895,3.94%,10.0
2026-05-16,223,4922,4.53%,12.4
2026-05-17,247,6872,3.59%,11.6
2026-05-18,240,6169,3.89%,11.3
2026-05-19,203,5105,3.98%,12.3
2026-05-20,251,7433,3.38%,12.5
2026-05-21,218,6261,3.48%,9.5
2026-05-22,205,5081,4.03%,12.6
2026-05-23,208,5315,3.91%,14.0
2026-05-24,222,5146,4.31%,10.6
2026-05-25,218,6467,3.37%,11.4
2026-05-26,259,7501,3.45%,12.5
2026-05-27,219,6520,3.36%,12.0
2026-05-28,229,4999,4.58%,14.4
2026-05-29,235,5037,4.67%,11.9
2026-05-30,214,5448,3.93%,11.7
2026-05-31,225,6160,3.65%,13.6
