Job,Ordered,Type,Status,Finished,Lab charge
J-7701,07/14/2026,Blue-light upgrade,Picked up,07/16/2026,75.46
J-7702,07/14/2026,Lens replacement,Waiting on lenses,,131.70
J-7703,07/15/2026,Bifocal,Ready for pickup,07/15/2026,161.60
J-7704,07/15/2026,Single vision,Ready for pickup,07/23/2026,95.70
J-7705,07/15/2026,Blue-light upgrade,Picked up,07/15/2026,61.87
J-7706,07/16/2026,Progressive,Picked up,07/19/2026,239.22
J-7707,07/16/2026,Frame repair,Picked up,07/21/2026,24.77
J-7708,07/16/2026,Prescription sunglasses,Ready for pickup,07/16/2026,202.99
J-7709,07/16/2026,Single vision,Ready for pickup,07/17/2026,85.48
J-7710,07/16/2026,Single vision,Ready for pickup,07/18/2026,98.16
J-7711,07/16/2026,Blue-light upgrade,Ready for pickup,07/19/2026,76.96
J-7712,07/17/2026,Progressive,Picked up,07/17/2026,243.95
J-7713,07/17/2026,Bifocal,Ready for pickup,07/19/2026,166.56
J-7714,07/17/2026,Bifocal,Ready for pickup,07/18/2026,162.25
J-7715,07/17/2026,Progressive,Waiting on lenses,,273.03
J-7716,07/17/2026,Progressive,Waiting on lenses,,264.51
J-7717,07/18/2026,Blue-light upgrade,Ready for pickup,07/30/2026,73.59
J-7718,07/18/2026,Single vision,Picked up,07/21/2026,84.70
J-7719,07/18/2026,Single vision,Picked up,07/26/2026,85.76
J-7720,07/18/2026,Single vision,Picked up,07/21/2026,96.07
J-7721,07/19/2026,Frame repair,Picked up,07/21/2026,24.35
J-7722,07/19/2026,Prescription sunglasses,Picked up,07/22/2026,177.35
J-7723,07/19/2026,Lens replacement,Ready for pickup,07/31/2026,137.15
J-7724,07/19/2026,Prescription sunglasses,Picked up,07/19/2026,170.01
J-7725,07/19/2026,Prescription sunglasses,Ready for pickup,07/19/2026,183.01
J-7726,07/19/2026,Frame repair,Picked up,07/31/2026,29.96
J-7727,07/21/2026,Bifocal,Picked up,07/26/2026,159.12
J-7728,07/21/2026,Bifocal,Picked up,07/23/2026,158.67
J-7729,07/21/2026,Progressive,Ready for pickup,07/23/2026,243.13
J-7730,07/22/2026,Blue-light upgrade,Ready for pickup,07/25/2026,68.35
J-7731,07/22/2026,Prescription sunglasses,Waiting on lenses,,199.50
J-7732,07/23/2026,Frame repair,Ready for pickup,07/24/2026,26.40
J-7733,07/23/2026,Lens replacement,Ready for pickup,07/25/2026,139.57
J-7734,07/24/2026,Blue-light upgrade,Picked up,07/28/2026,68.17
J-7735,07/24/2026,Lens replacement,Ready for pickup,07/28/2026,139.11
J-7736,07/24/2026,Progressive,Ready for pickup,07/25/2026,267.20
J-7737,07/24/2026,Progressive,Waiting on lenses,,251.77
J-7738,07/25/2026,Lens replacement,Ready for pickup,07/28/2026,121.48
J-7739,07/25/2026,Single vision,Ready for pickup,07/28/2026,96.69
J-7740,07/26/2026,Lens replacement,Ready for pickup,07/26/2026,142.51
J-7741,07/26/2026,Frame repair,Ready for pickup,07/28/2026,22.61
J-7742,07/26/2026,Blue-light upgrade,Picked up,07/29/2026,66.02
J-7743,07/26/2026,Single vision,Waiting on lenses,,96.17
J-7744,07/26/2026,Frame repair,Picked up,07/28/2026,29.12
J-7745,07/28/2026,Progressive,Waiting on lenses,,237.14
J-7746,07/28/2026,Bifocal,Picked up,07/29/2026,145.27
J-7747,07/28/2026,Single vision,Waiting on lenses,,83.44
J-7748,07/28/2026,Prescription sunglasses,Ready for pickup,07/31/2026,212.64
J-7749,07/28/2026,Blue-light upgrade,Ready for pickup,07/29/2026,69.32
J-7750,07/29/2026,Single vision,Picked up,07/30/2026,80.28
J-7751,07/29/2026,Progressive,Ready for pickup,07/30/2026,244.88
J-7752,07/29/2026,Prescription sunglasses,Picked up,08/06/2026,185.99
