Name,Created at,Financial Status,Total,Currency
#20411,2026-07-30 08:41:31 -0700,paid,57.80,USD
#20412,2026-07-30 09:47:17 -0700,paid,318.78,USD
#20413,2026-07-30 13:31:08 -0700,paid,156.31,USD
#20414,2026-07-30 18:13:34 -0700,paid,121.69,USD
#20415,2026-07-30 23:09:40 -0700,paid,342.71,USD
#20416,2026-07-31 08:31:02 -0700,paid,244.33,USD
#20417,2026-07-31 08:56:49 -0700,paid,115.00,USD
#20418,2026-07-31 09:12:28 -0700,paid,46.58,USD
#20419,2026-07-31 11:57:08 -0700,paid,32.21,USD
#20420,2026-07-31 15:32:35 -0700,paid,57.74,USD
#20421,2026-07-31 16:05:09 -0700,paid,43.35,USD
#20422,2026-07-31 22:30:53 -0700,paid,76.64,USD
#20423,2026-07-31 22:47:42 -0700,paid,59.86,USD
#20424,2026-08-01 07:45:43 -0700,paid,59.89,USD
#20425,2026-08-01 09:55:17 -0700,refunded,426.73,USD
#20426,2026-08-01 10:32:04 -0700,paid,329.72,USD
#20427,2026-08-01 11:35:36 -0700,paid,113.88,USD
#20428,2026-08-01 12:46:19 -0700,refunded,79.05,USD
#20429,2026-08-01 15:40:34 -0700,paid,80.75,USD
#20430,2026-08-01 16:51:24 -0700,paid,342.70,USD
#20431,2026-08-01 19:54:30 -0700,paid,320.60,USD
#20432,2026-08-01 23:12:38 -0700,paid,243.64,USD
#20433,2026-08-02 14:14:07 -0700,paid,332.04,USD
#20434,2026-08-02 19:21:50 -0700,paid,58.06,USD
#20435,2026-08-02 21:45:38 -0700,paid,113.97,USD
#20436,2026-08-03 07:00:38 -0700,paid,189.76,USD
#20437,2026-08-03 08:32:01 -0700,paid,121.16,USD
#20438,2026-08-03 08:43:55 -0700,paid,32.25,USD
#20439,2026-08-03 11:10:14 -0700,paid,243.06,USD
#20440,2026-08-03 14:59:19 -0700,pending,191.53,USD
#20441,2026-08-03 23:51:29 -0700,paid,254.69,USD
#20442,2026-08-04 08:32:32 -0700,paid,59.89,USD
#20443,2026-08-04 09:47:02 -0700,paid,58.95,USD
#20444,2026-08-04 11:14:18 -0700,paid,33.54,USD
#20445,2026-08-04 12:35:52 -0700,paid,60.23,USD
#20446,2026-08-04 12:55:05 -0700,paid,33.44,USD
#20447,2026-08-04 15:50:06 -0700,paid,121.71,USD
#20448,2026-08-04 19:32:40 -0700,paid,119.30,USD
#20449,2026-08-04 22:18:21 -0700,paid,76.23,USD
#20450,2026-08-04 23:08:20 -0700,refunded,30.43,USD
#20451,2026-08-05 06:16:45 -0700,paid,31.42,USD
#20452,2026-08-05 07:05:01 -0700,paid,117.07,USD
#20453,2026-08-05 15:44:30 -0700,paid,112.71,USD
#20454,2026-08-05 22:48:22 -0700,pending,155.79,USD
#20455,2026-08-06 06:49:59 -0700,paid,422.97,USD
#20456,2026-08-06 06:52:20 -0700,paid,243.29,USD
#20457,2026-08-06 07:56:39 -0700,paid,77.80,USD
#20458,2026-08-06 08:01:56 -0700,paid,31.23,USD
#20459,2026-08-06 14:05:52 -0700,paid,195.91,USD
#20460,2026-08-06 16:33:01 -0700,paid,46.85,USD
#20461,2026-08-07 07:51:55 -0700,paid,234.77,USD
#20462,2026-08-07 08:45:33 -0700,paid,43.85,USD
#20463,2026-08-07 11:37:33 -0700,paid,332.99,USD
#20464,2026-08-07 13:12:15 -0700,paid,60.46,USD
#20465,2026-08-07 14:37:28 -0700,paid,233.83,USD
#20466,2026-08-07 15:38:07 -0700,paid,81.79,USD
