Record ID,Customer Code,Month,Net Sales
EMB-1880-202501,EMB-1880,2025-01,353.65
EMB-1880-202503,EMB-1880,2025-03,873.44
EMB-1880-202504,EMB-1880,2025-04,228.30
EMB-1880-202505,EMB-1880,2025-05,200.62
EMB-1880-202506,EMB-1880,2025-06,244.30
EMB-1896-202501,EMB-1896,2025-01,723.10
EMB-1896-202503,EMB-1896,2025-03,451.37
EMB-1896-202504,EMB-1896,2025-04,1429.41
EMB-1896-202505,EMB-1896,2025-05,685.52
EMB-1111-202501,EMB-1111,2025-01,1308.93
EMB-1111-202502,EMB-1111,2025-02,344.74
EMB-1111-202503,EMB-1111,2025-03,566.45
EMB-1111-202505,EMB-1111,2025-05,935.16
EMB-1111-202506,EMB-1111,2025-06,652.74
EMB-1583-202501,EMB-1583,2025-01,234.77
EMB-1583-202502,EMB-1583,2025-02,428.04
EMB-1583-202504,EMB-1583,2025-04,574.10
EMB-1583-202505,EMB-1583,2025-05,761.80
EMB-1583-202506,EMB-1583,2025-06,1222.41
EMB-1333-202502,EMB-1333,2025-02,925.47
EMB-1333-202503,EMB-1333,2025-03,1331.44
EMB-1333-202505,EMB-1333,2025-05,1473.24
EMB-1333-202506,EMB-1333,2025-06,714.47
EMB-1219-202502,EMB-1219,2025-02,810.10
EMB-1219-202503,EMB-1219,2025-03,1052.09
EMB-1219-202505,EMB-1219,2025-05,1331.90
EMB-1219-202506,EMB-1219,2025-06,1088.65
EMB-1757-202501,EMB-1757,2025-01,932.86
EMB-1757-202502,EMB-1757,2025-02,1283.96
EMB-1757-202504,EMB-1757,2025-04,1046.61
EMB-1757-202505,EMB-1757,2025-05,1097.01
EMB-1757-202506,EMB-1757,2025-06,1490.68
EMB-1635-202502,EMB-1635,2025-02,670.82
EMB-1635-202504,EMB-1635,2025-04,773.29
EMB-1635-202505,EMB-1635,2025-05,308.08
EMB-1635-202506,EMB-1635,2025-06,1187.11
EMB-1543-202501,EMB-1543,2025-01,484.28
EMB-1543-202502,EMB-1543,2025-02,1326.42
EMB-1543-202503,EMB-1543,2025-03,756.40
EMB-1543-202504,EMB-1543,2025-04,1342.57
EMB-1575-202501,EMB-1575,2025-01,710.65
EMB-1575-202502,EMB-1575,2025-02,1343.66
EMB-1575-202504,EMB-1575,2025-04,387.89
EMB-1575-202505,EMB-1575,2025-05,465.00
EMB-1575-202506,EMB-1575,2025-06,945.32
EMB-1710-202501,EMB-1710,2025-01,155.53
EMB-1710-202502,EMB-1710,2025-02,648.49
EMB-1710-202503,EMB-1710,2025-03,1436.68
EMB-1710-202505,EMB-1710,2025-05,983.75
EMB-1113-202501,EMB-1113,2025-01,1364.37
EMB-1113-202505,EMB-1113,2025-05,688.62
EMB-1113-202506,EMB-1113,2025-06,1006.29
EMB-1498-202501,EMB-1498,2025-01,240.92
EMB-1498-202502,EMB-1498,2025-02,369.11
EMB-1498-202503,EMB-1498,2025-03,220.98
EMB-1498-202504,EMB-1498,2025-04,354.21
EMB-1498-202505,EMB-1498,2025-05,640.87
EMB-1498-202506,EMB-1498,2025-06,1330.35
EMB-1348-202501,EMB-1348,2025-01,350.54
EMB-1348-202502,EMB-1348,2025-02,618.98
EMB-1348-202503,EMB-1348,2025-03,315.84
EMB-1348-202506,EMB-1348,2025-06,803.18
