Journal No,Journal Date,Account Code,Description,Debit,Credit
WC-10887,2026-08-01,1000,Order #10887 - Direct bank transfer,25.13,
WC-10887,2026-08-01,4000,Order #10887 - coffee sales,,16.50
WC-10887,2026-08-01,4100,Order #10887 - shipping,,7.95
WC-10887,2026-08-01,2200,Order #10887 - sales tax,,0.68
WC-10888,2026-08-02,1210,Order #10888 - Credit Card (Stripe),102.54,
WC-10888,2026-08-02,4000,Order #10888 - coffee sales,,19.50
WC-10888,2026-08-02,4010,Order #10888 - equipment sales,,79.00
WC-10888,2026-08-02,2200,Order #10888 - sales tax,,4.04
WC-10889,2026-08-02,1210,Order #10889 - Credit Card (Stripe),25.95,
WC-10889,2026-08-02,4020,Order #10889 - subscription sales,,18.00
WC-10889,2026-08-02,4100,Order #10889 - shipping,,7.95
WC-10891,2026-08-03,1210,Order #10891 - Credit Card (Stripe),180.00,
WC-10891,2026-08-03,4900,Order #10891 - discount,20.00,
WC-10891,2026-08-03,4000,Order #10891 - coffee sales,,38.00
WC-10891,2026-08-03,4010,Order #10891 - equipment sales,,162.00
WC-10892,2026-08-04,1220,Order #10892 - PayPal,109.00,
WC-10892,2026-08-04,4000,Order #10892 - coffee sales,,91.00
WC-10892,2026-08-04,4020,Order #10892 - subscription sales,,18.00
WC-10893,2026-08-04,1210,Order #10893 - Credit Card (Stripe),200.50,
WC-10893,2026-08-04,4000,Order #10893 - coffee sales,,166.50
WC-10893,2026-08-04,4020,Order #10893 - subscription sales,,34.00
WC-10894,2026-08-05,1210,Order #10894 - Credit Card (Stripe),63.95,
WC-10894,2026-08-05,4020,Order #10894 - subscription sales,,34.00
WC-10894,2026-08-05,4030,Order #10894 - merchandise sales,,22.00
WC-10894,2026-08-05,4100,Order #10894 - shipping,,7.95
WC-10895,2026-08-05,1210,Order #10895 - Credit Card (Stripe),42.30,
WC-10895,2026-08-05,4000,Order #10895 - coffee sales,,33.00
WC-10895,2026-08-05,4100,Order #10895 - shipping,,7.95
WC-10895,2026-08-05,2200,Order #10895 - sales tax,,1.35
WC-10895-R,2026-08-10,4950,Refund on order #10895,16.50,
WC-10895-R,2026-08-10,1210,Refund on order #10895 - Credit Card (Stripe),,16.50
WC-10897,2026-08-06,1220,Order #10897 - PayPal,97.85,
WC-10897,2026-08-06,4000,Order #10897 - coffee sales,,94.00
WC-10897,2026-08-06,2200,Order #10897 - sales tax,,3.85
WC-10897-R,2026-08-11,4950,Refund on order #10897,18.00,
WC-10897-R,2026-08-11,1220,Refund on order #10897 - PayPal,,18.00
