*ContactName,EmailAddress,*InvoiceNumber,Reference,*InvoiceDate,*DueDate,InventoryItemCode,*Description,*Quantity,*UnitAmount,Discount,*AccountCode,*TaxType,Currency
Harbour Light Marine,accounts@harbourlightmarine.com.au,INV-2506,JOB-7640,03/08/2026,20/09/2026,DES-LOGO,Logo design package,2,650.00,5,210,GST on Income,AUD
Harbour Light Marine,accounts@harbourlightmarine.com.au,INV-2506,JOB-7640,03/08/2026,20/09/2026,FLY-A5-1000,"A5 flyers, 1000, 150gsm gloss",2,145.00,5,200,GST on Income,AUD
Harbour Light Marine,accounts@harbourlightmarine.com.au,INV-2506,JOB-7640,03/08/2026,20/09/2026,BAN-PVC-2M,PVC banner 2m x 1m with eyelets,1,118.00,5,200,GST on Income,AUD
Harbour Light Marine,accounts@harbourlightmarine.com.au,INV-2506,JOB-7640,03/08/2026,20/09/2026,,Delivery,1,22.50,,260,GST on Income,AUD
Juniper Street Cafe,accounts@juniperstreet.cafe,INV-2507,JOB-7215,05/08/2026,20/09/2026,STK-CUT,"Die-cut stickers, 250",1,96.00,,200,GST on Income,AUD
Mossbank Accounting,accounts@mossbank.com.au,INV-2509,JOB-7373,02/08/2026,16/08/2026,POS-A2,"A2 posters, satin",10,12.50,5,200,GST on Income,AUD
Mossbank Accounting,accounts@mossbank.com.au,INV-2509,JOB-7373,02/08/2026,16/08/2026,FLY-A5-1000,"A5 flyers, 1000, 150gsm gloss",1,145.00,5,200,GST on Income,AUD
Riverbend Physio,accounts@riverbendphysio.com.au,INV-2510,JOB-7124,01/08/2026,15/08/2026,BRO-A4-TRI,"A4 trifold brochures, 500",2,265.00,,200,GST on Income,AUD
Riverbend Physio,accounts@riverbendphysio.com.au,INV-2510,JOB-7124,01/08/2026,15/08/2026,,Delivery,1,22.50,,260,GST on Income,AUD
Tamarack Brewing Co,accounts@tamarackbrewing.com.au,INV-2511,JOB-7428,04/08/2026,18/08/2026,STK-CUT,"Die-cut stickers, 250",2,96.00,,200,GST on Income,AUD
Tamarack Brewing Co,accounts@tamarackbrewing.com.au,INV-2511,JOB-7428,04/08/2026,18/08/2026,BC-500,"Business cards, 500, 350gsm matte",1,89.00,,200,GST on Income,AUD
