Cascade Credit Union
Business Checking ******4471
Transactions 08/20/2026 - 09/12/2026

Post Date,Tran Date,Reference,Description,Memo,Amount,Type,Status,Balance
2026-08-20,08/20/26,000039571,ACH CREDIT ETSY INC PAYOUT 604876,ELECTRONIC DEPOSIT,"1,300.25",CREDIT,Posted,9720.80
2026-08-20,08/20/26,000090060,ACH CREDIT SQUARE INC SDV759382,ELECTRONIC DEPOSIT,318.29,CREDIT,Posted,10039.09
2026-08-24,08/22/26,987608377,POS PURCHASE 0822 OFFICE DEPOT #2231 PORTLAND OR,POS PURCHASE PIN,145.03,DEBIT,Posted,9894.06
2026-08-25,08/25/26,000073988,ACH CREDIT ETSY INC PAYOUT 139332,ELECTRONIC DEPOSIT,"1,159.88",CREDIT,Posted,11053.94
2026-08-25,08/23/26,000083739,DBT CRD 0823 PAYPAL *ETSY LABELS 402-935-7733 CA,POS DEBIT NON-PIN,23.26,DEBIT,Posted,11030.68
2026-08-25,08/25/26,000011097,ONLINE TRANSFER TO SAVINGS XXXXXX0093,HOME BANKING TRANSFER,500.00,DEBIT,Posted,10530.68
2026-08-27,08/25/26,000028974,DBT CRD 0825 BLUE BOTTLE COFFEE PORTLAND OR,POS DEBIT NON-PIN,7.79,DEBIT,Posted,10522.89
2026-08-27,08/26/26,000001029,DBT CRD 0826 AMZN MKTP US*587148 SEATTLE WA,POS DEBIT NON-PIN,49.26,DEBIT,Posted,10473.63
2026-08-28,08/28/26,000072938,ACH DEBIT COMCAST BUSINESS 8155,ELECTRONIC WITHDRAWAL,129.90,DEBIT,Posted,10343.73
2026-08-29,08/26/26,000058791,DBT CRD 0826 USPS PO 4057120331 PORTLAND OR,POS DEBIT NON-PIN,24.69,DEBIT,Posted,10319.04
2026-08-29,08/27/26,846518622,DBT CRD 0827 PAYPAL *ETSY LABELS 402-935-7733 CA,POS DEBIT NON-PIN,39.40,DEBIT,Posted,10279.64
2026-08-30,08/28/26,000089037,DBT CRD 0828 AMZN MKTP US*220186 SEATTLE WA,POS DEBIT NON-PIN,119.25,DEBIT,Posted,10160.39
2026-08-30,08/28/26,000010965,DBT CRD 0828 USPS PO 4057120331 PORTLAND OR,POS DEBIT NON-PIN,24.92,DEBIT,Posted,10135.47
2026-08-31,08/31/26,000034198,ACH DEBIT UPS BILLING 510903,ELECTRONIC WITHDRAWAL,135.32,DEBIT,Posted,10000.15
2026-08-31,08/30/26,000021834,DBT CRD 0830 PAYPAL *ETSY LABELS 402-935-7733 CA,POS DEBIT NON-PIN,31.41,DEBIT,Posted,9968.74
2026-09-01,09/01/26,000046991,ACH CREDIT ETSY INC PAYOUT 730086,ELECTRONIC DEPOSIT,937.13,CREDIT,Posted,10905.87
2026-09-01,09/01/26,000092013,ACH DEBIT MILLBROOK PROPERTIES RENT,ELECTRONIC WITHDRAWAL,"1,850.00",DEBIT,Posted,9055.87
2026-09-01,08/31/26,000068919,DBT CRD 0831 AMZN MKTP US*989101 SEATTLE WA,POS DEBIT NON-PIN,93.28,DEBIT,Posted,8962.59
2026-09-01,08/31/26,000088725,POS PURCHASE 0831 TALAS DIV OF TECHNICAL LIB BROOKLYN NY,POS PURCHASE PIN,419.24,DEBIT,Posted,8543.35
2026-09-01,08/31/26,000065154,POS PURCHASE 0831 TALAS DIV OF TECHNICAL LIB BROOKLYN NY,POS PURCHASE PIN,86.08,DEBIT,Posted,8457.27
2026-09-03,09/02/26,000027162,DBT CRD 0902 AMZN MKTP US*145620 SEATTLE WA,POS DEBIT NON-PIN,76.47,DEBIT,Posted,8380.80
2026-09-03,09/02/26,000028297,DBT CRD 0902 PAYPAL *ETSY LABELS 402-935-7733 CA,POS DEBIT NON-PIN,30.39,DEBIT,Posted,8350.41
