id,name,external_id,domain_names,tags,created_at
360001204711,Acme Industrial,,acmeindustrial.com,,2026-08-10T15:00:00Z
360001209422,Brightwater Dental,,brightwaterdental.com,,2026-08-11T15:07:00Z
360001214133,Tamarack Brewing,,tamarackbrewing.com,,2026-08-12T15:14:00Z
360001218844,Juniper Street Cafe,,juniperstreet.cafe,,2026-08-13T15:21:00Z
360001223555,Lakeside Veterinary,,lakesidevet.com,,2026-08-14T15:28:00Z
360001228266,Meridian Title,,meridiantitle.com,,2026-08-15T15:35:00Z
360001232977,Dorsey Freight,,dorseyfreight.com,,2026-08-16T15:42:00Z
360001237688,Copperfield Law,,copperfieldlaw.com,,2026-08-17T15:49:00Z
360001242399,Orchard Hill Dental,,orchardhilldental.com,,2026-08-18T15:56:00Z
360001247110,Riverbend Physio,,riverbendphysio.com,,2026-08-19T15:03:00Z
360001251821,Fernbrook Montessori,,fernbrookmontessori.org,,2026-08-20T15:10:00Z
360001256532,Hollowell Electric,,hollowellelectric.com,,2026-08-21T15:17:00Z
360001261243,Wren & Sparrow Bookshop,,wrensparrowbooks.com,,2026-08-22T15:24:00Z
360001265954,Everline Insurance,,everline.com,,2026-08-23T15:31:00Z
